Date,UBS - TD Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-3.916954831702319e-09
2019-01-04,1.1992759322976694e-07
2019-01-05,1.1010592182096318e-07
2019-01-06,1.0028425041223141e-07
2019-01-07,-4.1481746295396224e-07
2019-01-08,1.2175480137779275e-06
2019-01-09,7.365276975319142e-06
2019-01-10,6.461727708046745e-06
2019-01-11,1.924384764096073e-06
2019-01-12,1.97469200161562e-06
2019-01-13,2.024999239134958e-06
2019-01-14,-3.497262581735285e-06
2019-01-15,7.833519598315992e-06
2019-01-16,7.993770313886232e-06
2019-01-17,2.2776251882666194e-05
2019-01-18,2.9397311353139766e-05
2019-01-19,2.968729977760629e-05
2019-01-20,2.9977288202072187e-05
2019-01-21,3.0267276626538082e-05
2019-01-22,9.249981463430157e-05
2019-01-23,8.143172490420821e-05
2019-01-24,8.32213370249472e-05
2019-01-25,8.714651117210949e-05
2019-01-26,8.764053159311994e-05
2019-01-27,8.813455201413032e-05
2019-01-28,9.727174382231037e-05
2019-01-29,0.00010536196229333044
2019-01-30,8.442889193988779e-05
2019-01-31,0.0001219144978017102
2019-02-01,0.00013646569847923235
2019-02-02,0.00013718865534018013
2019-02-03,0.0001379116122011279
2019-02-04,0.00014554374986459418
2019-02-05,0.00011726033039438565
2019-02-06,0.00012157035939582154
2019-02-07,0.00015302828830551335
2019-02-08,0.0001668379492673676
2019-02-09,0.00016760024877804732
2019-02-10,0.00016836254828872697
2019-02-11,0.00016878419012824765
2019-02-12,0.00015129120937345676
2019-02-13,0.00013896352606509386
2019-02-14,0.00017328241054970168
2019-02-15,0.0001337912356190576
2019-02-16,0.00013455860116392128
2019-02-17,0.00013532596670878596
2019-02-18,0.0001360933322536506
2019-02-19,0.00014297510009245976
2019-02-20,0.00022388148530089804
2019-02-21,0.000250453726552572
2019-02-22,0.0002469415640651616
2019-02-23,0.0002480122794035228
2019-02-24,0.000249082994741884
2019-02-25,0.00022661276970421576
2019-02-26,0.0001970887183274202
2019-02-27,0.00018797219514269105
2019-02-28,0.00019106387881931658
2019-03-01,0.00018884712573519422
2019-03-02,0.00018962871222282603
2019-03-03,0.00019041029871045786
2019-03-04,0.00020325766069645385
2019-03-05,0.00022564041179087835
2019-03-06,0.00025001799949255844
2019-03-07,0.00030278252716887456
2019-03-08,0.00030410878368588445
2019-03-09,0.00030502706772493116
2019-03-10,0.0003059453517639786
2019-03-11,0.0002772391844803195
2019-03-12,0.00027287029810862696
2019-03-13,0.00024757155654570875
2019-03-14,0.00024856065495502884
2019-03-15,0.00025190034962136864
2019-03-16,0.00025282742336845207
2019-03-17,0.0002537544971155355
2019-03-18,0.00020360729467058033
2019-03-19,0.00019580996078373677
2019-03-20,0.00023872915791343198
2019-03-21,0.0002637769607119578
2019-03-22,0.0003309465253901779
2019-03-23,0.0003317878687501023
2019-03-24,0.0003326292121100266
2019-03-25,0.00033690573541298135
2019-03-26,0.00033123607983807956
2019-03-27,0.00033886031361168406
2019-03-28,0.00034337689539599216
2019-03-29,0.0003341494352445556
2019-03-30,0.00033482332608136963
2019-03-31,0.00033549721691818256
2019-04-01,0.0002829808835171765
2019-04-02,0.00028071015827132876
2019-04-03,0.00026384808549439744
2019-04-04,0.00025542648246502865
2019-04-05,0.0002602245572742076
2019-04-06,0.00026098230595950235
2019-04-07,0.00026174005464479715
2019-04-08,0.0002622831747606089
2019-04-09,0.00027695857340968275
2019-04-10,0.0002826266712348437
2019-04-11,0.00025919247524929304
2019-04-12,0.00024062265462310438
2019-04-13,0.0002412843915695239
2019-04-14,0.00024194612851594337
2019-04-15,0.00023367647278786272
2019-04-16,0.00020836919198386676
2019-04-17,0.00018180733956991264
2019-04-18,0.0001912625843619243
2019-04-19,0.0001919039217921719
2019-04-20,0.0001925452592224196
2019-04-21,0.00019318659665266735
2019-04-22,0.0001937914526390772
2019-04-23,0.00021511389780744727
2019-04-24,0.00020655590160174842
2019-04-25,0.0001938457002749036
2019-04-26,0.00019709811689148097
2019-04-27,0.0001976701782826761
2019-04-28,0.00019824223967387114
2019-04-29,0.00017319486814526216
2019-04-30,0.00018816153068268226
2019-05-01,0.00020846924649739425
2019-05-02,0.0001958537831742075
2019-05-03,0.00020502036399642595
2019-05-04,0.00020569430322880564
2019-05-05,0.00020636824246118607
2019-05-06,0.00031392736147438285
2019-05-07,0.00037485572279085945
2019-05-08,0.00037883474911372763
2019-05-09,0.000401584705854465
2019-05-10,0.0004037954028040717
2019-05-11,0.0004045986035021151
2019-05-12,0.00040540180420015846
2019-05-13,0.0004605402924778588
2019-05-14,0.0004517237312128111
2019-05-15,0.0004496894964390779
2019-05-16,0.0004234967794845079
2019-05-17,0.0004280363593811999
2019-05-18,0.00042887219890022925
2019-05-19,0.0004297080384192595
2019-05-20,0.0004146012787265423
2019-05-21,0.00041556396673400153
2019-05-22,0.00044587055836442567
2019-05-23,0.00042361960790480546
2019-05-24,0.000383577627195005
2019-05-25,0.00038460339693537104
2019-05-26,0.0003856291666757372
2019-05-27,0.00038665493641610335
2019-05-28,0.00043048082823197244
2019-05-29,0.000470437446455301
2019-05-30,0.0004843727445507296
2019-05-31,0.0005357699798418816
2019-06-01,0.0005366868475736632
2019-06-02,0.0005376037153054449
2019-06-03,0.0005271358525539843
2019-06-04,0.00045429066867066906
2019-06-05,0.0004475267688327764
2019-06-06,0.00043200843321137324
2019-06-07,0.00041688435729036886
2019-06-08,0.0004179499573364632
2019-06-09,0.0004190155573825565
2019-06-10,0.00040649751035312545
2019-06-11,0.0003940343320841254
