Date,UBS - NWG Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,5.3496903499678776e-08
2019-01-04,1.5096233256390378e-09
2019-01-05,8.808131022137991e-08
2019-01-06,1.7465299711729528e-07
2019-01-07,1.9126380721730448e-07
2019-01-08,2.451195690051767e-06
2019-01-09,3.7206813031462913e-07
2019-01-10,-1.4315434038536413e-06
2019-01-11,4.31117232459546e-06
2019-01-12,4.52921511425302e-06
2019-01-13,4.747257903910199e-06
2019-01-14,1.230730137708668e-05
2019-01-15,1.0673492955379724e-05
2019-01-16,-3.828045212255121e-06
2019-01-17,1.8034506499781627e-05
2019-01-18,2.575580776641673e-05
2019-01-19,2.6256903697968038e-05
2019-01-20,2.6757999629519295e-05
2019-01-21,2.725909556107034e-05
2019-01-22,8.785989342938249e-05
2019-01-23,7.843602830473554e-05
2019-01-24,8.017035778325632e-05
2019-01-25,8.22056591072355e-05
2019-01-26,8.27904275295533e-05
2019-01-27,8.337519595187103e-05
2019-01-28,8.729456260312183e-05
2019-01-29,8.651161234069196e-05
2019-01-30,7.317047236933437e-05
2019-01-31,0.00010062237796607681
2019-02-01,0.00011151217364308733
2019-02-02,0.000112079512720144
2019-02-03,0.00011264685179720066
2019-02-04,0.00011855956391597982
2019-02-05,9.680468658045149e-05
2019-02-06,0.00010274558121502354
2019-02-07,0.00012330525824329517
2019-02-08,0.00013251664047541977
2019-02-09,0.0001330064841308567
2019-02-10,0.00013349632778629362
2019-02-11,0.00013389839821974705
2019-02-12,0.00012271256470190294
2019-02-13,0.00011474670753450635
2019-02-14,0.0001373528649123873
2019-02-15,0.00010963255199218931
2019-02-16,0.00011022745413173054
2019-02-17,0.00011082235627127252
2019-02-18,0.00011141725841081439
2019-02-19,0.00012059738362368059
2019-02-20,0.00019262103693350066
2019-02-21,0.00021765333686882916
2019-02-22,0.00021692164686913808
2019-02-23,0.00021772009907551726
2019-02-24,0.00021851855128189655
2019-02-25,0.0001949511689677559
2019-02-26,0.00016595772948150834
2019-02-27,0.00015663249357796789
2019-02-28,0.00015339271093864636
2019-03-01,0.00014857089957673696
2019-03-02,0.0001494928327314074
2019-03-03,0.0001504147658860779
2019-03-04,0.00016500580085574196
2019-03-05,0.0001953517028174176
2019-03-06,0.0002191737289480725
2019-03-07,0.0002870272111360506
2019-03-08,0.0003099577397252689
2019-03-09,0.00031084399941637745
2019-03-10,0.0003117302591074859
2019-03-11,0.0002791626583214446
2019-03-12,0.00027378631827129293
2019-03-13,0.0002352196343223408
2019-03-14,0.0002246631143269379
2019-03-15,0.0002295237510452814
2019-03-16,0.00023062024806125037
2019-03-17,0.0002317167450772193
2019-03-18,0.00017371045259618006
2019-03-19,0.00016284291266203257
2019-03-20,0.00022280460331397606
2019-03-21,0.0002695869844879311
2019-03-22,0.00032197376346732373
2019-03-23,0.0003227610526868726
2019-03-24,0.0003235483419064214
2019-03-25,0.00032728670905734315
2019-03-26,0.0003154080902207551
2019-03-27,0.0002868221289985124
2019-03-28,0.0003128799920801982
2019-03-29,0.0003045889811972105
2019-03-30,0.0003052958874509301
2019-03-31,0.00030600279370464903
2019-04-01,0.0002575695522325534
2019-04-02,0.00025551771771347575
2019-04-03,0.00022979572097982072
2019-04-04,0.00022352337009879094
2019-04-05,0.00023376346322290958
2019-04-06,0.00023450214268177995
2019-04-07,0.00023524082214065054
2019-04-08,0.00023739032801424438
2019-04-09,0.0002384327885285156
2019-04-10,0.0002447639496692279
2019-04-11,0.00020230489833396933
2019-04-12,0.0001793439293826731
2019-04-13,0.00018021133889998346
2019-04-14,0.00018107874841729379
2019-04-15,0.0001693829223329485
2019-04-16,0.0001362929542841261
2019-04-17,0.00010209559921665797
2019-04-18,0.00011145419496467703
2019-04-19,0.0001122550198608566
2019-04-20,0.00011305584475703625
2019-04-21,0.00011385666965321583
2019-04-22,0.0001148227360559459
2019-04-23,0.000141507878944632
2019-04-24,0.0001305313655371386
2019-04-25,0.00011244806528811925
2019-04-26,0.00011043083365974676
2019-04-27,0.0001109104390324745
2019-04-28,0.00011139004440520221
2019-04-29,8.945059024596412e-05
2019-04-30,9.95826521330075e-05
2019-05-01,0.00011224386739608102
2019-05-02,0.00010399246636092537
2019-05-03,0.00011089252640129286
2019-05-04,0.0001113740510107341
2019-05-05,0.00011185557562017584
2019-05-06,0.00018562203907748588
2019-05-07,0.00022214984094514175
2019-05-08,0.00021855294005244347
2019-05-09,0.00023603038078480397
2019-05-10,0.00023301656159270296
2019-05-11,0.0002335184460416177
2019-05-12,0.00023402033049053247
2019-05-13,0.00029976301759777603
2019-05-14,0.00027840187890660776
2019-05-15,0.0002874813341366897
2019-05-16,0.0002695941873073173
2019-05-17,0.00029805772678278755
2019-05-18,0.0002983722319676838
2019-05-19,0.0002986867371525803
2019-05-20,0.00032027100042911915
2019-05-21,0.00030616445943855083
