Date,UBS - GS Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-2.150282714555439e-09
2019-01-04,1.8501240608277629e-06
2019-01-05,1.7929592480030163e-06
2019-01-06,1.7357944351780944e-06
2019-01-07,1.1227620442528245e-06
2019-01-08,-1.399355273170437e-06
2019-01-09,2.3031887374201914e-06
2019-01-10,-2.5033698436022413e-06
2019-01-11,-1.2414941782642302e-06
2019-01-12,-1.4195353409193403e-06
2019-01-13,-1.5975765035750436e-06
2019-01-14,2.927237666676002e-06
2019-01-15,9.278978463321976e-06
2019-01-16,5.970226267342171e-05
2019-01-17,7.804449527218073e-05
2019-01-18,7.695783874065591e-05
2019-01-19,7.736520133920478e-05
2019-01-20,7.777256393775262e-05
2019-01-21,7.817992653630047e-05
2019-01-22,0.00016977807350008678
2019-01-23,0.00015241830764755853
2019-01-24,0.00015215356872558922
2019-01-25,0.00015528217135812538
2019-01-26,0.00015590636314150686
2019-01-27,0.00015653055492488826
2019-01-28,0.00016456021806948208
2019-01-29,0.0001716133922605194
2019-01-30,0.00014510450594668313
2019-01-31,0.00017419271050325957
2019-02-01,0.00018593998970361847
2019-02-02,0.00018656250503338423
2019-02-03,0.00018718502036315005
2019-02-04,0.00019449230961776157
2019-02-05,0.0001677803177014833
2019-02-06,0.0001702717680142285
2019-02-07,0.00019558438513404667
2019-02-08,0.00020641100754747153
2019-02-09,0.00020698800473737837
2019-02-10,0.00020756500192728455
2019-02-11,0.00020721756349372178
2019-02-12,0.00019297823775827624
2019-02-13,0.00018266050126296507
2019-02-14,0.00020965159495049687
2019-02-15,0.0001774453345193393
2019-02-16,0.00017808362354184586
2019-02-17,0.0001787219125643524
2019-02-18,0.00017936020158685917
2019-02-19,0.00018442101787135472
2019-02-20,0.00025184834535642937
2019-02-21,0.00027661546067099323
2019-02-22,0.0002772539138295266
2019-02-23,0.0002781577300753912
2019-02-24,0.0002790615463212552
2019-02-25,0.0002566552554663719
2019-02-26,0.00023548831934642824
2019-02-27,0.0002316556163894592
2019-02-28,0.00023126891613085225
2019-03-01,0.00022532681067180212
2019-03-02,0.00022608849721006999
2019-03-03,0.00022685018374833776
2019-03-04,0.00024044605928594454
2019-03-05,0.0002583634562969831
2019-03-06,0.0002781883187531636
2019-03-07,0.0003264770636977324
2019-03-08,0.00032247511406137386
2019-03-09,0.00032359488963632275
2019-03-10,0.00032471466521127114
2019-03-11,0.0003010058674654977
2019-03-12,0.0002975517352401831
2019-03-13,0.0002779025374351618
2019-03-14,0.0002741500183524066
2019-03-15,0.00027856329333219746
2019-03-16,0.0002795994578883942
2019-03-17,0.00028063562244459164
2019-03-18,0.00022709826739139582
2019-03-19,0.0002221993690516262
2019-03-20,0.0002750066383798806
2019-03-21,0.0002833423099063507
2019-03-22,0.0003485654537090308
2019-03-23,0.0003495184027430186
2019-03-24,0.00035047135177700763
2019-03-25,0.0003567317903023426
2019-03-26,0.0003371776697008263
2019-03-27,0.0003345119443072886
2019-03-28,0.00033065072670217526
2019-03-29,0.0003165629621295101
2019-03-30,0.0003174757471858819
2019-03-31,0.0003183885322422546
2019-04-01,0.00026835380925840257
2019-04-02,0.000265322403972756
2019-04-03,0.0002401136394668173
2019-04-04,0.0002289849204468307
2019-04-05,0.00023385435281878892
2019-04-06,0.0002348256063045863
2019-04-07,0.00023579685979038361
2019-04-08,0.00024060627278593057
2019-04-09,0.0002488197178244973
2019-04-10,0.00024902575107049133
2019-04-11,0.00021454032927354898
2019-04-12,0.0001874847593124259
2019-04-13,0.0001884544018488418
2019-04-14,0.00018942404438525683
2019-04-15,0.0001888405379752934
2019-04-16,0.00016399355355526844
2019-04-17,0.00013915867888858127
2019-04-18,0.00014839416694795862
2019-04-19,0.00014908526695892795
2019-04-20,0.00014977636696989703
2019-04-21,0.0001504674669808662
2019-04-22,0.00015003672681753686
2019-04-23,0.000174197211788834
2019-04-24,0.00016447783912559315
2019-04-25,0.00015023817298373538
2019-04-26,0.00015361201675685436
2019-04-27,0.00015420390329091337
2019-04-28,0.00015479578982497232
2019-04-29,0.00012819040635218753
2019-04-30,0.00013983470702976788
2019-05-01,0.00016120293056104436
2019-05-02,0.0001485410659119887
2019-05-03,0.00015894231300341385
2019-05-04,0.00015964295059961255
2019-05-05,0.00016034358819581147
2019-05-06,0.00027764858214151926
2019-05-07,0.00034428314793990975
2019-05-08,0.0003486129998634867
2019-05-09,0.0003639790900338223
2019-05-10,0.0003612313933172689
2019-05-11,0.0003624395588888259
2019-05-12,0.00036364772446038245
2019-05-13,0.0004546054480785525
2019-05-14,0.00044247937113054157
2019-05-15,0.0004444525055851488
2019-05-16,0.00040342653742549654
2019-05-17,0.00042079979893215304
2019-05-18,0.00042196885235375084
2019-05-19,0.0004231379057753472
2019-05-20,0.00042207963677903034
2019-05-21,0.00040525370172578344
2019-05-22,0.0004466021505824205
2019-05-23,0.0004890808614597829
2019-05-24,0.00047256803368972357
2019-05-25,0.0004736303124842585
2019-05-26,0.00047469259127879494
2019-05-27,0.0004757548700733314
2019-05-28,0.0005231667713249257
2019-05-29,0.0005404785309404757
2019-05-30,0.000550346373774671
2019-05-31,0.0006106881852500112
2019-06-01,0.0006117051519894475
2019-06-02,0.0006127221187288861
2019-06-03,0.0006054201394262268
2019-06-04,0.0005276315168905706
2019-06-05,0.0005438581924497539
2019-06-06,0.0005303732859724375
2019-06-07,0.0005304229916565632
2019-06-08,0.0005314507809715881
2019-06-09,0.0005324785702866148
2019-06-10,0.0004891177295675333
2019-06-11,0.0004809721501425111
