Date,UBS - USB Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,9.310186173438952e-08
2019-01-04,2.243374868549861e-06
2019-01-05,2.3290198097100197e-06
2019-01-06,2.4146647508703757e-06
2019-01-07,-3.254364770065293e-07
2019-01-08,2.2298740391207005e-06
2019-01-09,7.575282048881835e-06
2019-01-10,3.472656446409586e-06
2019-01-11,3.3371546125329905e-06
2019-01-12,3.527014569846184e-06
2019-01-13,3.7168745271592527e-06
2019-01-14,6.331177342235416e-06
2019-01-15,1.0444361408490215e-05
2019-01-16,1.3944382981211352e-05
2019-01-17,2.9729920438529183e-05
2019-01-18,2.9921983951388385e-05
2019-01-19,3.0461446705838784e-05
2019-01-20,3.1000909460289136e-05
2019-01-21,3.15403722147395e-05
2019-01-22,8.710144153891115e-05
2019-01-23,8.060582575962605e-05
2019-01-24,8.221785225190733e-05
2019-01-25,8.382013402531459e-05
2019-01-26,8.443160374592899e-05
2019-01-27,8.504307346654316e-05
2019-01-28,9.139074025162857e-05
2019-01-29,9.36181970205956e-05
2019-01-30,7.446178334591372e-05
2019-01-31,0.00010115477740858365
2019-02-01,0.00011210517308324652
2019-02-02,0.00011268494468366649
2019-02-03,0.00011326471628408638
2019-02-04,0.00011918733356932538
2019-02-05,9.750375411504513e-05
2019-02-06,0.00010128851972008728
2019-02-07,0.0001243669604228556
2019-02-08,0.00013411053467217394
2019-02-09,0.0001345955098235062
2019-02-10,0.00013508048497483838
2019-02-11,0.00013462832016556466
2019-02-12,0.00012158205169477296
2019-02-13,0.0001118590969185591
2019-02-14,0.00013508836171653032
2019-02-15,0.00010827759570039264
2019-02-16,0.00010886761790094146
2019-02-17,0.00010945764010149097
2019-02-18,0.00011004766230204049
2019-02-19,0.00011400427597806266
2019-02-20,0.00016800812098846866
2019-02-21,0.00018858255419661288
2019-02-22,0.00018563364596847453
2019-02-23,0.00018615708278483986
2019-02-24,0.00018668051960120516
2019-02-25,0.00016980930979498978
2019-02-26,0.000154327749644544
2019-02-27,0.00014915280515173527
2019-02-28,0.0001467486678544157
2019-03-01,0.0001423089993615709
2019-03-02,0.0001429173915958491
2019-03-03,0.0001435257838301273
2019-03-04,0.00015424492779915857
2019-03-05,0.00017291373866000132
2019-03-06,0.00019299010705324865
2019-03-07,0.00023875986325883161
2019-03-08,0.0002443465931616617
2019-03-09,0.0002447822790030244
2019-03-10,0.00024521796484438754
2019-03-11,0.0002141956563713829
2019-03-12,0.00022042591216919004
2019-03-13,0.00019574365168141376
2019-03-14,0.00019069273292215933
2019-03-15,0.00019298148580560503
2019-03-16,0.00019357567621273582
2019-03-17,0.0001941698666198662
2019-03-18,0.00015104821105289042
2019-03-19,0.00014767598705566173
2019-03-20,0.00019352751058347256
2019-03-21,0.00021158359638090652
2019-03-22,0.0002647914035528361
2019-03-23,0.0002649394944402835
2019-03-24,0.00026508758532773084
2019-03-25,0.000271369132919374
2019-03-26,0.0002574142225148449
2019-03-27,0.0002605703792210492
2019-03-28,0.0002642441905965358
2019-03-29,0.00025499011138833684
2019-03-30,0.0002551533378639646
2019-03-31,0.0002553165643395921
2019-04-01,0.0002226146173042255
2019-04-02,0.00022125680879876513
2019-04-03,0.00020906276570776104
2019-04-04,0.0002007781979957982
2019-04-05,0.00020462275873728132
2019-04-06,0.00020500049306000563
2019-04-07,0.00020537822738272998
2019-04-08,0.00020650281982829275
2019-04-09,0.0002150635899800115
2019-04-10,0.00021827147183717065
2019-04-11,0.0001953882568078088
2019-04-12,0.00018064585093847496
2019-04-13,0.0001811097766022842
2019-04-14,0.00018157370226609356
2019-04-15,0.00017689059706780402
2019-04-16,0.00015850387256409606
2019-04-17,0.0001394674041627454
2019-04-18,0.00014983331921839986
2019-04-19,0.0001504439086852471
2019-04-20,0.0001510544981520944
2019-04-21,0.00015166508761894172
2019-04-22,0.0001522448645214259
2019-04-23,0.00017372658553453256
2019-04-24,0.00016440533752895832
2019-04-25,0.00014914533840887327
2019-04-26,0.00015279089765671128
2019-04-27,0.00015352227355007505
2019-04-28,0.00015425364944343878
2019-04-29,0.00012441479281853846
2019-04-30,0.0001408403631312228
2019-05-01,0.0001653159053127228
2019-05-02,0.0001511568209832019
2019-05-03,0.0001608530247269916
2019-05-04,0.00016170465960462928
2019-05-05,0.0001625562944822678
2019-05-06,0.00028897621325312683
2019-05-07,0.0003566708567829625
2019-05-08,0.00035640213590066867
2019-05-09,0.0003810061407392407
2019-05-10,0.000379014262846759
2019-05-11,0.0003796080167765421
2019-05-12,0.00038020177070632514
2019-05-13,0.00046257719462972357
2019-05-14,0.00045319223308774035
2019-05-15,0.0004640695420425479
2019-05-16,0.0004186173617523189
2019-05-17,0.0004216011204984328
2019-05-18,0.0004221128334146878
2019-05-19,0.0004226245463309434
2019-05-20,0.0004133273303928025
2019-05-21,0.0004035367002113065
