Date,MS - GS Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,6.274311333317957e-09
2019-01-04,1.0226467895884282e-07
2019-01-05,1.0581736381285548e-07
2019-01-06,1.0937004866669449e-07
2019-01-07,-3.273314566028003e-07
2019-01-08,-1.2218551902217358e-07
2019-01-09,9.968066333378172e-08
2019-01-10,-2.1959922136920812e-07
2019-01-11,7.487630175160907e-07
2019-01-12,7.681275579652112e-07
2019-01-13,7.874920984141038e-07
2019-01-14,-5.992802636239088e-07
2019-01-15,-8.031945467824754e-07
2019-01-16,3.161754457754312e-05
2019-01-17,9.897360923433785e-05
2019-01-18,6.946148183330494e-05
2019-01-19,7.009285024507292e-05
2019-01-20,7.072421865684032e-05
2019-01-21,7.135558706860773e-05
2019-01-22,0.00010172140450557541
2019-01-23,0.00010887678762272125
2019-01-24,0.00011379018247266199
2019-01-25,9.009245317134218e-05
2019-01-26,9.074566940246556e-05
2019-01-27,9.139888563358892e-05
2019-01-28,0.00010067151140795208
2019-01-29,0.00010793899170657078
2019-01-30,0.00010205754306475678
2019-01-31,0.00011111901142770314
2019-02-01,0.00012416228019936995
2019-02-02,0.00012481392865422834
2019-02-03,0.0001254655771090867
2019-02-04,0.0001090798251103943
2019-02-05,0.00011041292622965236
2019-02-06,0.00011110949217218256
2019-02-07,0.00013207002221088214
2019-02-08,0.000148361467451494
2019-02-09,0.00014897391119555426
2019-02-10,0.00014958635493961492
2019-02-11,0.0001637098654008042
2019-02-12,0.00013934569337065175
2019-02-13,0.00013893192850744177
2019-02-14,0.000152267955466253
2019-02-15,0.00011883905413215948
2019-02-16,0.00011953234266114813
2019-02-17,0.00012022563119013624
2019-02-18,0.00012091891971912442
2019-02-19,0.00011681118915441016
2019-02-20,0.00010999491028474543
2019-02-21,0.00012169258327689582
2019-02-22,0.00012660588755437254
2019-02-23,0.00012724409459669662
2019-02-24,0.00012788230163902025
2019-02-25,0.00011860673175631973
2019-02-26,0.00011325321560798225
2019-02-27,0.00010912710992812545
2019-02-28,0.0001242405223676932
2019-03-01,0.00011192990453620839
2019-03-02,0.00011255774398654404
2019-03-03,0.00011318558343687983
2019-03-04,0.00012569636079611476
2019-03-05,0.00012873123978079086
2019-03-06,0.00013626549672352285
2019-03-07,0.00014807018522551481
2019-03-08,0.00014218394919500777
2019-03-09,0.00014284662397769394
2019-03-10,0.00014350929876037996
2019-03-11,0.00013232071597698252
2019-03-12,0.0001285076869464545
2019-03-13,0.00011994136077020499
2019-03-14,0.00011377954766048277
2019-03-15,9.927365880700348e-05
2019-03-16,9.981327130226067e-05
2019-03-17,0.00010035288379751765
2019-03-18,8.88439865951627e-05
2019-03-19,8.910100611738726e-05
2019-03-20,0.00010231525545512641
2019-03-21,0.00010098631809785239
2019-03-22,0.00012511093488398354
2019-03-23,0.00012553380908760788
2019-03-24,0.0001259566832912324
2019-03-25,0.0001331163440880748
2019-03-26,0.00012213949204653015
2019-03-27,0.00013095679169699146
2019-03-28,0.00012169564260755147
2019-03-29,0.00011731462495424524
2019-03-30,0.00011778126543278529
2019-03-31,0.0001182479059113254
2019-04-01,9.489133946639556e-05
2019-04-02,9.252452182800332e-05
2019-04-03,8.210475694617143e-05
2019-04-04,7.137463711375239e-05
2019-04-05,7.302512958602075e-05
2019-04-06,7.352445287596571e-05
2019-04-07,7.402377616591124e-05
2019-04-08,7.279789504684148e-05
2019-04-09,8.776198483399283e-05
2019-04-10,8.732542448752469e-05
2019-04-11,7.826688412776473e-05
2019-04-12,4.030606200443473e-05
2019-04-13,4.078572584589683e-05
2019-04-14,4.126538968735826e-05
2019-04-15,2.8449267598313786e-05
2019-04-16,1.4741646029393643e-05
2019-04-17,1.2082289194959154e-05
2019-04-18,2.2286749050152084e-05
2019-04-19,2.262450250541753e-05
2019-04-20,2.2962255960682684e-05
2019-04-21,2.3300009415947274e-05
2019-04-22,2.4568023953296323e-05
2019-04-23,2.1327623450657115e-05
2019-04-24,4.784154296397274e-06
2019-04-25,1.0765032192653304e-05
2019-04-26,5.116207192014871e-06
2019-04-27,5.336357772541012e-06
2019-04-28,5.55650835306716e-06
2019-04-29,1.1083445112331208e-05
2019-04-30,1.1670287499461267e-05
2019-05-01,2.3516945389889687e-05
2019-05-02,1.901504142211422e-05
2019-05-03,2.4703013303362627e-05
2019-05-04,2.50385944242479e-05
2019-05-05,2.5374175545134027e-05
2019-05-06,3.0039247539250736e-05
2019-05-07,3.9929473362816796e-05
2019-05-08,3.8622598424401663e-05
2019-05-09,4.272578853476465e-05
2019-05-10,4.6676050602930895e-05
2019-05-11,4.7018405990782845e-05
2019-05-12,4.7360761378635304e-05
2019-05-13,7.494115477714561e-05
2019-05-14,7.834435116246325e-05
2019-05-15,8.052851996063066e-05
2019-05-16,7.509575735631408e-05
2019-05-17,8.233067747151241e-05
2019-05-18,8.278595703175605e-05
