Date,UBS - BBVA Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-4.0038244060001606e-08
2019-01-04,-6.7636823843875444e-06
2019-01-05,-6.6322517616913015e-06
2019-01-06,-6.500821138994868e-06
2019-01-07,-1.0342323090311038e-05
2019-01-08,-8.401118850446391e-06
2019-01-09,-5.759207757471338e-07
2019-01-10,-4.965067653224478e-06
2019-01-11,-7.645623589235447e-06
2019-01-12,-7.381885324401071e-06
2019-01-13,-7.118147059567047e-06
2019-01-14,-1.218655623071546e-05
2019-01-15,-1.19857520751999e-05
2019-01-16,-2.307737216544911e-05
2019-01-17,-2.790017932298343e-05
2019-01-18,-1.664937190022653e-05
2019-01-19,-1.633442319430557e-05
2019-01-20,-1.6019474488384646e-05
2019-01-21,-1.5704525782463748e-05
2019-01-22,3.624387011619936e-05
2019-01-23,3.117029350187302e-05
2019-01-24,2.653559181254466e-05
2019-01-25,3.367326860123835e-05
2019-01-26,3.416399205035191e-05
2019-01-27,3.465471549946544e-05
2019-01-28,3.988911497851531e-05
2019-01-29,4.1080655791751875e-05
2019-01-30,2.5452149654384337e-05
2019-01-31,4.3758877684680505e-05
2019-02-01,5.195524622966445e-05
2019-02-02,5.238394625398152e-05
2019-02-03,5.281264627829857e-05
2019-02-04,5.701285120418508e-05
2019-02-05,4.0869502239341415e-05
2019-02-06,4.2490999256115964e-05
2019-02-07,5.6582122067226134e-05
2019-02-08,6.288539706008665e-05
2019-02-09,6.322302980648676e-05
2019-02-10,6.356066255288683e-05
2019-02-11,6.334524214238703e-05
2019-02-12,5.43451379184427e-05
2019-02-13,4.659502525741705e-05
2019-02-14,6.011100027224162e-05
2019-02-15,4.363080831189795e-05
2019-02-16,4.399888671687182e-05
2019-02-17,4.436696512184612e-05
2019-02-18,4.4735043526820404e-05
2019-02-19,4.76218943294178e-05
2019-02-20,8.587311320926707e-05
2019-02-21,0.00010266612228378284
2019-02-22,9.83222216879733e-05
2019-02-23,9.882433763900832e-05
2019-02-24,9.932645359004338e-05
2019-02-25,8.865173068425564e-05
2019-02-26,7.54568624346445e-05
2019-02-27,6.759667415979683e-05
2019-02-28,6.473819121617972e-05
2019-03-01,6.138118588797148e-05
2019-03-02,6.196336193702284e-05
2019-03-03,6.254553798607423e-05
2019-03-04,7.40384478934866e-05
2019-03-05,8.96945807232182e-05
2019-03-06,9.940947742216237e-05
2019-03-07,0.00015516563634404446
2019-03-08,0.0001623279796637906
2019-03-09,0.00016278923065774607
2019-03-10,0.0001632504816517015
2019-03-11,0.00014416648978934527
2019-03-12,0.00014276538176506828
2019-03-13,0.00012156513964792761
2019-03-14,0.00011943330959538323
2019-03-15,0.00011481474719211077
2019-03-16,0.00011542321279437196
2019-03-17,0.00011603167839663315
2019-03-18,7.840843668289712e-05
2019-03-19,7.103020391864388e-05
2019-03-20,0.00010367116883168204
2019-03-21,0.00011838874924353751
2019-03-22,0.00018287157807458034
2019-03-23,0.00018336215543487283
2019-03-24,0.00018385273279516531
2019-03-25,0.00018485237696526366
2019-03-26,0.00018853721335233644
2019-03-27,0.00018431058484513416
2019-03-28,0.00019913326451521886
2019-03-29,0.0001881234378378029
2019-03-30,0.00018850594036057882
2019-03-31,0.00018888844288335443
2019-04-01,0.0001416238416554199
2019-04-02,0.00013961080291125452
2019-04-03,0.00012204086371287538
2019-04-04,0.00011072702351015275
2019-04-05,0.00011418569844376286
2019-04-06,0.00011482399098142399
2019-04-07,0.00011546228351908508
2019-04-08,0.00012903709914847806
2019-04-09,0.00013190040850806104
2019-04-10,0.00013842364085203503
2019-04-11,0.00011308311726747786
2019-04-12,9.354011963299745e-05
2019-04-13,9.416135084328552e-05
2019-04-14,9.478258205357362e-05
2019-04-15,8.817381956019947e-05
2019-04-16,6.528087582972447e-05
2019-04-17,4.181904132606369e-05
2019-04-18,4.8345209886301866e-05
2019-04-19,4.893938317558998e-05
2019-04-20,4.953355646487814e-05
2019-04-21,5.0127729754166244e-05
2019-04-22,5.033747735816647e-05
2019-04-23,6.833040562733685e-05
2019-04-24,6.121564670938868e-05
2019-04-25,5.018717278734069e-05
2019-04-26,5.2241189810328056e-05
2019-04-27,5.264989162918176e-05
2019-04-28,5.3058593448035416e-05
2019-04-29,3.533860722748717e-05
2019-04-30,4.3812002203454494e-05
2019-05-01,5.6077001822848274e-05
2019-05-02,4.789664838578944e-05
2019-05-03,5.2965527175132715e-05
2019-05-04,5.336848692160701e-05
2019-05-05,5.3771446668081744e-05
2019-05-06,0.00011610771045549736
2019-05-07,0.00015685640261866077
2019-05-08,0.00014934426972141928
2019-05-09,0.00016028557567676657
2019-05-10,0.00015247305268561529
2019-05-11,0.00015290965058870813
2019-05-12,0.000153346248491801
2019-05-13,0.0002079991688405289
2019-05-14,0.00018661336729209737
2019-05-15,0.00018780799357973667
2019-05-16,0.0001614491928394849
2019-05-17,0.00017425260596402308
2019-05-18,0.000174651710579025
2019-05-19,0.00017505081519402686
2019-05-20,0.00017937756471760502
2019-05-21,0.00016729845414186699
2019-05-22,0.00019696086600592126
2019-05-23,0.00020918270780341883
2019-05-24,0.00018870322728505682
2019-05-25,0.0001890667967985131
2019-05-26,0.0001894303663119693
2019-05-27,0.00018979393582542554
2019-05-28,0.00021063798153592644
2019-05-29,0.00020703850962056194
2019-05-30,0.00019621960227411922
2019-05-31,0.00026486591359526956
2019-06-01,0.00026513679305019763
2019-06-02,0.00026540767250512565
2019-06-03,0.00025410391104746516
2019-06-04,0.0001974952956962225
2019-06-05,0.0002147799658211058
