Date,UBS - ING Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-3.398796653053965e-08
2019-01-04,-8.49976998348769e-06
2019-01-05,-8.30816905537923e-06
2019-01-06,-8.116568127270528e-06
2019-01-07,-1.1978394902914325e-05
2019-01-08,-1.007678816030754e-05
2019-01-09,-1.0308170709233225e-05
2019-01-10,-1.7349259196774323e-05
2019-01-11,-2.1414824465556937e-05
2019-01-12,-2.1230232815683468e-05
2019-01-13,-2.1045641165810233e-05
2019-01-14,-2.0899670242790167e-05
2019-01-15,-1.8081720944929815e-05
2019-01-16,-2.084674139875575e-05
2019-01-17,-2.5741704425738396e-05
2019-01-18,-1.3025941403988064e-05
2019-01-19,-1.2657878257055491e-05
2019-01-20,-1.2289815110122987e-05
2019-01-21,-1.1921751963190459e-05
2019-01-22,3.7471486712461344e-05
2019-01-23,3.187619884503796e-05
2019-01-24,2.6949828779844855e-05
2019-01-25,3.505627973249429e-05
2019-01-26,3.5548537729579545e-05
2019-01-27,3.604079572666476e-05
2019-01-28,4.249949281130011e-05
2019-01-29,4.3665155178123385e-05
2019-01-30,2.8034263437635414e-05
2019-01-31,4.4232456050464055e-05
2019-02-01,5.1692172080603536e-05
2019-02-02,5.210026557414746e-05
2019-02-03,5.250835906769144e-05
2019-02-04,5.538600363926367e-05
2019-02-05,4.251771964958757e-05
2019-02-06,5.8055399004199214e-05
2019-02-07,8.446758122078663e-05
2019-02-08,9.55701610108774e-05
2019-02-09,9.612935180712724e-05
2019-02-10,9.6688542603377e-05
2019-02-11,9.585941432126622e-05
2019-02-12,8.125567227608614e-05
2019-02-13,7.097822122828849e-05
2019-02-14,9.7156429047295e-05
2019-02-15,6.672042512739174e-05
2019-02-16,6.735238195810074e-05
2019-02-17,6.798433878881043e-05
2019-02-18,6.861629561952008e-05
2019-02-19,7.390502477576594e-05
2019-02-20,0.00013721854538307067
2019-02-21,0.00016233461781936515
2019-02-22,0.0001562383350947853
2019-02-23,0.0001569655112557305
2019-02-24,0.00015769268741667569
2019-02-25,0.00013742015261338685
2019-02-26,0.00011205915248845294
2019-02-27,0.00010363154430241768
2019-02-28,9.981504086349375e-05
2019-03-01,9.336841908143145e-05
2019-03-02,9.427290484625555e-05
2019-03-03,9.517739061107972e-05
2019-03-04,0.0001111988328500992
2019-03-05,0.00014220439008207097
2019-03-06,0.00017304013561914502
2019-03-07,0.00022826696753559854
2019-03-08,0.00024972629712915334
2019-03-09,0.00025021665694393625
2019-03-10,0.0002507070167587192
2019-03-11,0.00021327477828760684
2019-03-12,0.00021450608690072647
2019-03-13,0.0001879878831286197
2019-03-14,0.00018283099936318496
2019-03-15,0.00017967585135839694
2019-03-16,0.00018041905409183138
2019-03-17,0.00018116225682526576
2019-03-18,0.00014998783403845974
2019-03-19,0.0001442873973257192
2019-03-20,0.00018049508819123727
2019-03-21,0.0001900146675579532
2019-03-22,0.00025190526884054837
2019-03-23,0.00025242306208843394
2019-03-24,0.00025294085533631957
2019-03-25,0.00025361740091503135
2019-03-26,0.0002448752510724353
2019-03-27,0.00021699978179371096
2019-03-28,0.0002282919196912597
2019-03-29,0.000209996418151981
2019-03-30,0.00021059987799202748
2019-03-31,0.00021120333783207303
2019-04-01,0.0001595537909846609
2019-04-02,0.00015694033810029356
2019-04-03,0.0001348314292873964
2019-04-04,0.0001248797606378023
2019-04-05,0.0001328383060867807
2019-04-06,0.00013358056523208467
2019-04-07,0.00013432282437738881
2019-04-08,0.00013581532604379644
2019-04-09,0.00014073585880191515
2019-04-10,0.0001492557892894141
2019-04-11,0.00010732071379323515
2019-04-12,7.736841014277511e-05
2019-04-13,7.832065728841919e-05
2019-04-14,7.927290443406326e-05
2019-04-15,6.679125239670588e-05
2019-04-16,2.9577566138604568e-05
2019-04-17,-9.34970948458862e-06
2019-04-18,3.293103766365831e-06
2019-04-19,4.229066645455732e-06
2019-04-20,5.165029524545713e-06
2019-04-21,6.1009924036356205e-06
2019-04-22,6.21363389967507e-06
2019-04-23,3.674082378754404e-05
2019-04-24,2.4105780613775246e-05
2019-04-25,2.6098638531662677e-06
2019-04-26,5.227089336108202e-06
2019-04-27,5.876080067829709e-06
2019-04-28,6.525070799551154e-06
2019-04-29,-2.208577095456587e-05
2019-04-30,-9.474396833940882e-06
2019-05-01,9.589641328057987e-06
2019-05-02,-2.120177514537622e-06
2019-05-03,4.583643162514823e-06
2019-05-04,5.208320330101693e-06
2019-05-05,5.832997497689206e-06
2019-05-06,0.00010116651798592889
2019-05-07,0.0001581775383751074
2019-05-08,0.00015410952495542295
2019-05-09,0.0001822486117806392
2019-05-10,0.00017811444848386888
2019-05-11,0.00017862415226507872
2019-05-12,0.0001791338560462886
2019-05-13,0.00023977297300170394
2019-05-14,0.00023169574522671096
2019-05-15,0.0002576336915965748
2019-05-16,0.00023950337662137765
