Date,GS - HDB Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,7.080829648560838e-08
2019-01-04,3.716809925685935e-06
2019-01-05,3.6808485765188085e-06
2019-01-06,3.6448872273515873e-06
2019-01-07,2.8165348212680784e-06
2019-01-08,4.162969843686416e-06
2019-01-09,2.4840775451932538e-06
2019-01-10,1.5882682208016201e-06
2019-01-11,2.0834374362963227e-06
2019-01-12,1.9790088931321947e-06
2019-01-13,1.8745803499679482e-06
2019-01-14,-1.4151283094116651e-06
2019-01-15,5.813036536449062e-06
2019-01-16,2.2035175478303107e-05
2019-01-17,3.345181181594782e-05
2019-01-18,4.267860649910291e-05
2019-01-19,4.2368555468337706e-05
2019-01-20,4.2058504437572445e-05
2019-01-21,4.17484534068072e-05
2019-01-22,1.4791955702481496e-05
2019-01-23,-9.465959522994298e-06
2019-01-24,-2.4245898013216596e-05
2019-01-25,-1.8318863705432563e-05
2019-01-26,-1.883765693489141e-05
2019-01-27,-1.935645016434956e-05
2019-01-28,-3.915871856025295e-05
2019-01-29,-6.412346354211845e-05
2019-01-30,-6.897616100297607e-05
2019-01-31,-4.7109684250967355e-05
2019-02-01,-4.0203840306100854e-05
2019-02-02,-4.068900663994449e-05
2019-02-03,-4.117417297378877e-05
2019-02-04,-3.814353525515449e-05
2019-02-05,-2.6544718213221015e-05
2019-02-06,-2.4462213564449142e-05
2019-02-07,-2.8678646981718046e-05
2019-02-08,-3.548431567918133e-05
2019-02-09,-3.5857703677653824e-05
2019-02-10,-3.623109167612631e-05
2019-02-11,-3.472565174348562e-05
2019-02-12,-1.3662913163706781e-05
2019-02-13,-2.0764999138217494e-05
2019-02-14,-3.87046347813178e-05
2019-02-15,-2.524606326169194e-05
2019-02-16,-2.568829173931236e-05
2019-02-17,-2.6130520216932783e-05
2019-02-18,-2.6572748694552782e-05
2019-02-19,-5.259119056069204e-05
2019-02-20,-3.4768781453429604e-05
2019-02-21,-3.545185307207643e-05
2019-02-22,-3.478623466960316e-05
2019-02-23,-3.520245514656006e-05
2019-02-24,-3.561867562351598e-05
2019-02-25,-9.76793709423432e-06
2019-02-26,-2.3965974902551803e-05
2019-02-27,-3.268323382149702e-05
2019-02-28,-2.622891997370268e-05
2019-03-01,-3.199804735763255e-05
2019-03-02,-3.242354891369286e-05
2019-03-03,-3.284905046975329e-05
2019-03-04,-3.8647968962760666e-05
2019-03-05,-1.6467617833892862e-05
2019-03-06,-1.157798070849609e-05
2019-03-07,-1.6239356819163048e-05
2019-03-08,-2.1437102553305766e-06
2019-03-09,-2.354961552717562e-06
2019-03-10,-2.566212850104474e-06
2019-03-11,2.134140947014473e-05
2019-03-12,3.836460352807168e-05
2019-03-13,6.446159930657837e-05
2019-03-14,6.399028366643927e-05
2019-03-15,7.833791704218492e-05
2019-03-16,7.849970831028195e-05
2019-03-17,7.86614995783797e-05
2019-03-18,7.992002537487658e-05
2019-03-19,7.276715178712774e-05
2019-03-20,0.00011907310986264481
2019-03-21,0.00011686211876562496
2019-03-22,0.00013134468401352728
2019-03-23,0.00013160918057260372
2019-03-24,0.0001318736771316812
2019-03-25,0.00013314117333096962
2019-03-26,0.00013961574759933064
2019-03-27,0.00013883417550642594
2019-03-28,0.00012977574157967784
2019-03-29,0.00014134019668063448
2019-03-30,0.0001417461616389949
2019-03-31,0.000142152126597356
2019-04-01,0.00011061690594693661
2019-04-02,0.00010950689472902242
2019-04-03,8.869301509335383e-05
2019-04-04,6.786863018516112e-05
2019-04-05,6.956220034193024e-05
2019-04-06,6.979692616255337e-05
2019-04-07,7.003165198317767e-05
2019-04-08,6.914985754505687e-05
2019-04-09,7.618469475536113e-05
2019-04-10,5.413131866358178e-05
2019-04-11,5.3562613704783945e-05
2019-04-12,4.0083639197472034e-05
2019-04-13,4.023018362851996e-05
2019-04-14,4.0376728059567943e-05
2019-04-15,8.418010591108089e-05
2019-04-16,8.877271017199595e-05
2019-04-17,5.7858551634623926e-05
2019-04-18,7.502020256276915e-05
2019-04-19,7.530087306887413e-05
2019-04-20,7.558154357498146e-05
2019-04-21,7.586221408108744e-05
2019-04-22,7.256217708307745e-05
2019-04-23,6.363752769855671e-05
2019-04-24,0.0001021638463777754
2019-04-25,8.602902832026738e-05
2019-04-26,8.182580544832994e-05
2019-04-27,8.20971960530385e-05
2019-04-28,8.236858665774825e-05
2019-04-29,5.634203836354917e-05
2019-04-30,6.257536617058043e-05
2019-05-01,8.77257950646775e-05
2019-05-02,0.00012250496921253798
2019-05-03,0.0001126859081329136
2019-05-04,0.00011313459202591807
2019-05-05,0.00011358327591892117
2019-05-06,0.00010327937257482926
2019-05-07,0.00011513397947382435
2019-05-08,0.00010676445186651921
2019-05-09,0.00010686777441850425
2019-05-10,0.00011702513688272241
2019-05-11,0.00011739547181829362
2019-05-12,0.00011776580675386279
2019-05-13,0.00014370560010614327
