Date,UBS - RY Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-3.212260277910967e-08
2019-01-04,-3.671954612781656e-06
2019-01-05,-3.6174177888773856e-06
2019-01-06,-3.5628809649729285e-06
2019-01-07,-5.853112134664509e-06
2019-01-08,-7.094096177769807e-06
2019-01-09,1.321096652778686e-05
2019-01-10,6.50003029176899e-06
2019-01-11,-2.629728525079205e-06
2019-01-12,-2.410703808586991e-06
2019-01-13,-2.191679092094344e-06
2019-01-14,-7.769016231233896e-06
2019-01-15,2.7379095914371616e-06
2019-01-16,-2.1156782267593935e-05
2019-01-17,-8.121711358364567e-06
2019-01-18,-1.8916526001277724e-05
2019-01-19,-1.8686992920555492e-05
2019-01-20,-1.845745983983333e-05
2019-01-21,-1.822792675911262e-05
2019-01-22,7.492999061146612e-05
2019-01-23,5.3918334839123355e-05
2019-01-24,5.367294303809197e-05
2019-01-25,5.83516106114063e-05
2019-01-26,5.8855771816405415e-05
2019-01-27,5.9359933021405144e-05
2019-01-28,6.884577363312289e-05
2019-01-29,7.515164830944732e-05
2019-01-30,5.5958055273321465e-05
2019-01-31,9.550959475551293e-05
2019-02-01,0.00011289189891754839
2019-02-02,0.00011368522495323401
2019-02-03,0.00011447855098891962
2019-02-04,0.00012271259649503986
2019-02-05,9.178603611613059e-05
2019-02-06,9.60758066778067e-05
2019-02-07,0.00013195729601036011
2019-02-08,0.00014727774936895054
2019-02-09,0.0001480958697073928
2019-02-10,0.00014891399004583484
2019-02-11,0.00014905584842680645
2019-02-12,0.00013031434181364485
2019-02-13,0.00011710983549183097
2019-02-14,0.0001525124602284231
2019-02-15,0.00011174399191773272
2019-02-16,0.00011250953869832898
2019-02-17,0.00011327508547892621
2019-02-18,0.00011404063225952315
2019-02-19,0.00012143096293132429
2019-02-20,0.00020619299760839195
2019-02-21,0.00023927409325810714
2019-02-22,0.00023753681566870158
2019-02-23,0.00023865585904831702
2019-02-24,0.0002397749024279317
2019-02-25,0.00021635066054342456
2019-02-26,0.00018627801237398016
2019-02-27,0.00017692620736926157
2019-02-28,0.00017513486728221365
2019-03-01,0.00016970449758679993
2019-03-02,0.00017071148847098977
2019-03-03,0.00017171847935517964
2019-03-04,0.0001880534425786053
2019-03-05,0.0002154001603011804
2019-03-06,0.00024568644791552054
2019-03-07,0.0003167929647770119
2019-03-08,0.0003305794302448027
2019-03-09,0.0003318044270883751
2019-03-10,0.00033302942393194585
2019-03-11,0.0003009097136757635
2019-03-12,0.0003005408345399175
2019-03-13,0.00026986056618037057
2019-03-14,0.0002691211897437891
2019-03-15,0.0002712054209902341
2019-03-16,0.00027240156267662347
2019-03-17,0.0002735977043630128
2019-03-18,0.00021742290675410636
2019-03-19,0.0002082507334793314
2019-03-20,0.00026019734853708525
2019-03-21,0.000286793059236348
2019-03-22,0.0003565245919187308
2019-03-23,0.0003576922433661171
2019-03-24,0.00035885989481350167
2019-03-25,0.0003624140154220133
2019-03-26,0.0003367279186329012
2019-03-27,0.0003368090386389712
2019-03-28,0.00035027654396193187
2019-03-29,0.00034003069374932834
2019-03-30,0.0003410383228621124
2019-03-31,0.00034204595197489575
2019-04-01,0.00027652042489268076
2019-04-02,0.0002720849829487819
2019-04-03,0.0002507245482359455
2019-04-04,0.00024135316567742255
2019-04-05,0.0002482884765588714
2019-04-06,0.00024930835691209277
2019-04-07,0.0002503282372653133
2019-04-08,0.0002531836135871367
2019-04-09,0.00025920184300230303
2019-04-10,0.00026528314395243477
2019-04-11,0.00022371041766250035
2019-04-12,0.0001966812800104438
2019-04-13,0.0001977072007936555
2019-04-14,0.0001987331215768672
2019-04-15,0.0001868809335292068
2019-04-16,0.00014951622482784472
2019-04-17,0.0001108532222936443
2019-04-18,0.00012730624209687276
2019-04-19,0.0001283309407514079
2019-04-20,0.0001293556394059429
2019-04-21,0.00013038033806047806
2019-04-22,0.000131955148715605
2019-04-23,0.00016928945178983697
2019-04-24,0.00015456209556007788
2019-04-25,0.00013370887882816688
2019-04-26,0.00013817356863164568
2019-04-27,0.00013903966581287378
2019-04-28,0.00013990576299410183
2019-04-29,0.00010066228094415904
2019-04-30,0.000121498718933718
2019-05-01,0.00015066764123671222
2019-05-02,0.0001326044391210693
2019-05-03,0.00014532071168041235
2019-05-04,0.0001462735682708454
2019-05-05,0.00014722642486127976
2019-05-06,0.00030092268329146135
2019-05-07,0.0003830059082913297
2019-05-08,0.00038128234001835265
2019-05-09,0.0004072572113689854
2019-05-10,0.00041063197895537315
2019-05-11,0.0004119804175689285
2019-05-12,0.0004133288561824838
2019-05-13,0.0005053661859227483
2019-05-14,0.0004952167901220554
2019-05-15,0.0004931124385868976
2019-05-16,0.000450681746703728
2019-05-17,0.00046246394539980324
2019-05-18,0.0004638288491660532
2019-05-19,0.00046519375293230117
2019-05-20,0.0004544221049530737
2019-05-21,0.00044368554529796973
2019-05-22,0.00046909844064143587
2019-05-23,0.0005656018277230962
2019-05-24,0.0005107434404067279
2019-05-25,0.0005120397096898572
2019-05-26,0.0005133359789729864
2019-05-27,0.000514632248256118
2019-05-28,0.0005669635263003646
2019-05-29,0.0006064364107890187
2019-05-30,0.0006149217790462343
2019-05-31,0.0006671231135556257
2019-06-01,0.0006683967313703799
2019-06-02,0.000669670349185131
2019-06-03,0.0006428323734560535
2019-06-04,0.0005569483070832419
2019-06-05,0.0005548416636659853
2019-06-06,0.0005500222535173769
2019-06-07,0.0005288396156429096
2019-06-08,0.0005302330723118482
2019-06-09,0.0005316265289807868
2019-06-10,0.0005155353222529416
