Date,UBS - SCHW Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,2.9245285944837773e-08
2019-01-04,2.4983913990274696e-06
2019-01-05,2.4732481856747957e-06
2019-01-06,2.4481049723223267e-06
2019-01-07,1.99533518153952e-06
2019-01-08,5.756611456340774e-06
2019-01-09,1.1869482729957874e-05
2019-01-10,4.858472225987147e-06
2019-01-11,2.7553156309860656e-06
2019-01-12,2.7409768711968506e-06
2019-01-13,2.726638111407646e-06
2019-01-14,-8.490616622215729e-07
2019-01-15,6.6831439285332e-06
2019-01-16,2.0308737957645772e-05
2019-01-17,2.900986681407153e-05
2019-01-18,3.4625684430075056e-05
2019-01-19,3.486165136819693e-05
2019-01-20,3.5097618306318776e-05
2019-01-21,3.533358524444099e-05
2019-01-22,0.00010550468172202998
2019-01-23,9.297457221323077e-05
2019-01-24,9.16809348102722e-05
2019-01-25,9.34035859363598e-05
2019-01-26,9.383850234615101e-05
2019-01-27,9.427341875594216e-05
2019-01-28,9.815506172460389e-05
2019-01-29,0.00010318873994526111
2019-01-30,7.722583195255307e-05
2019-01-31,9.94016749388333e-05
2019-02-01,0.00010956061029979215
2019-02-02,0.00010999695555472956
2019-02-03,0.000110433300809667
2019-02-04,0.00011531752088550981
2019-02-05,9.534314963615145e-05
2019-02-06,9.554402445714936e-05
2019-02-07,0.00010842612619202383
2019-02-08,0.0001139022666317845
2019-02-09,0.00011418826502957572
2019-02-10,0.00011447426342736689
2019-02-11,0.00011427599137045141
2019-02-12,0.00010652923533550053
2019-02-13,0.00010049402880866517
2019-02-14,0.00011587517706895226
2019-02-15,9.81207809492518e-05
2019-02-16,9.845850385566864e-05
2019-02-17,9.879622676208594e-05
2019-02-18,9.913394966850318e-05
2019-02-19,0.00010400382158405242
2019-02-20,0.00014603069379177816
2019-02-21,0.00016237556690290494
2019-02-22,0.00015789864818411647
2019-02-23,0.00015846998024560588
2019-02-24,0.00015904131230709523
2019-02-25,0.00015206997020123078
2019-02-26,0.0001378677302841948
2019-02-27,0.00013506815583318562
2019-02-28,0.000135991406079681
2019-03-01,0.00013094383368511317
2019-03-02,0.00013142403123973974
2019-03-03,0.00013190422879436636
2019-03-04,0.00014244972450383844
2019-03-05,0.00015031355115087012
2019-03-06,0.00016407396025273324
2019-03-07,0.0001964995653246232
2019-03-08,0.0002097644256957082
2019-03-09,0.00021023253986967162
2019-03-10,0.00021070065404363544
2019-03-11,0.00020188670583386892
2019-03-12,0.00019872347289971444
2019-03-13,0.00018879732480469268
2019-03-14,0.00017615569607741885
2019-03-15,0.0001772702799650197
2019-03-16,0.00017781597991310374
2019-03-17,0.00017836167986118805
2019-03-18,0.0001579048374760142
2019-03-19,0.00015611549668627606
2019-03-20,0.00017960395521953896
2019-03-21,0.00019239456375769106
2019-03-22,0.00022944777831847017
2019-03-23,0.0002297592953777696
2019-03-24,0.00023007081243706855
2019-03-25,0.00022872197957472156
2019-03-26,0.0002132318443628343
2019-03-27,0.00023001441877931123
2019-03-28,0.0002128792757907035
2019-03-29,0.00021313785760546577
2019-03-30,0.00021345374649310656
2019-03-31,0.00021376963538074709
2019-04-01,0.0001912985117202837
2019-04-02,0.00018831783101460413
2019-04-03,0.00018284831778316314
2019-04-04,0.00017916131379336196
2019-04-05,0.00018325937624803928
2019-04-06,0.00018357345392048076
2019-04-07,0.00018388753159292204
2019-04-08,0.00018269305888173352
2019-04-09,0.00018677608341628586
2019-04-10,0.00019010860048727186
2019-04-11,0.00018631494965905374
2019-04-12,0.00017704060285488152
2019-04-13,0.00017731729712776697
2019-04-14,0.00017759399140065244
2019-04-15,0.0001767088782439813
2019-04-16,0.00016904271320539622
2019-04-17,0.00016094883719529996
2019-04-18,0.00016195148404371
2019-04-19,0.0001620840772770296
2019-04-20,0.00016221667051034925
2019-04-21,0.00016234926374366886
2019-04-22,0.00016218548273045288
2019-04-23,0.00016852754653780088
2019-04-24,0.00016607043205247595
2019-04-25,0.0001629807698208215
2019-04-26,0.00016200091231096606
2019-04-27,0.00016205537864295196
2019-04-28,0.00016210984497493783
2019-04-29,0.00015991947223492902
2019-04-30,0.00016268662061493972
2019-05-01,0.0001675543642444354
2019-05-02,0.00016513297997269904
2019-05-03,0.00016865967259234652
2019-05-04,0.0001688340577367186
2019-05-05,0.0001690084428810909
2019-05-06,0.0002043854082100974
2019-05-07,0.00022823592621988697
2019-05-08,0.00022897590257723493
2019-05-09,0.00023006694326484478
2019-05-10,0.00022966254579997748
2019-05-11,0.00023029163879527528
2019-05-12,0.00023092073179057312
2019-05-13,0.00029007356754310416
2019-05-14,0.0002746903253418091
2019-05-15,0.0003240106843506174
2019-05-16,0.0002997041166969837
2019-05-17,0.0003139735187040447
2019-05-18,0.000314402937108095
2019-05-19,0.00031483235551214525
2019-05-20,0.000306781309376457
2019-05-21,0.00029535595431500546
2019-05-22,0.0003067163639923407
2019-05-23,0.00033510521819950245
2019-05-24,0.00031794755412605023
2019-05-25,0.00031840316907033
2019-05-26,0.00031885878401461017
2019-05-27,0.0003193143989588904
2019-05-28,0.00032704049898820515
2019-05-29,0.0003267825191720126
2019-05-30,0.00033354987738160263
2019-05-31,0.00036441493615232165
2019-06-01,0.0003649075596174503
2019-06-02,0.00036540018308257974
2019-06-03,0.0003677816556814003
2019-06-04,0.0002977455892806408
2019-06-05,0.0003000037557018585
2019-06-06,0.0002958679830328693
2019-06-07,0.0003283239033933943
2019-06-08,0.00032880134581654525
2019-06-09,0.00032927878823969684
2019-06-10,0.0003215549323630854
