Date,UBS - IBN Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,7.718322631333724e-08
2019-01-04,1.0388461012374788e-05
2019-01-05,1.0211994036053664e-05
2019-01-06,1.0035527059732709e-05
2019-01-07,8.097237174300414e-06
2019-01-08,2.221501466930908e-05
2019-01-09,2.4248259820107394e-05
2019-01-10,1.931254215096199e-05
2019-01-11,1.0905004347575144e-05
2019-01-12,1.0600438198018536e-05
2019-01-13,1.0295872048462152e-05
2019-01-14,-7.357438022973501e-06
2019-01-15,-6.054293163238084e-06
2019-01-16,4.190545679426436e-06
2019-01-17,5.445437876771835e-07
2019-01-18,-7.89072396437882e-06
2019-01-19,-8.602549759972463e-06
2019-01-20,-9.314375555565554e-06
2019-01-21,-1.0026201351159186e-05
2019-01-22,-3.421163424545614e-05
2019-01-23,-3.199865383809677e-05
2019-01-24,-3.272535560461546e-05
2019-01-25,-4.9023317493534957e-05
2019-01-26,-4.9715250047893504e-05
2019-01-27,-5.0407182602251794e-05
2019-01-28,-7.717412395849634e-05
2019-01-29,-7.510317666158772e-05
2019-01-30,-1.993402518134198e-05
2019-01-31,-4.412395013411543e-05
2019-02-01,-5.972731773709223e-05
2019-02-02,-6.030829506140747e-05
2019-02-03,-6.0889272385722646e-05
2019-02-04,-6.481509687921047e-05
2019-02-05,-4.9032555195540855e-05
2019-02-06,-4.6466525923234675e-05
2019-02-07,-6.665826501995226e-05
2019-02-08,-7.585585129545184e-05
2019-02-09,-7.636400011316729e-05
2019-02-10,-7.687214893088274e-05
2019-02-11,-7.527746817494033e-05
2019-02-12,-5.9501652597481634e-05
2019-02-13,-5.0161028810525834e-05
2019-02-14,-8.279281775586207e-05
2019-02-15,-4.65020889293646e-05
2019-02-16,-4.7365042095422415e-05
2019-02-17,-4.8227995261481015e-05
2019-02-18,-4.9090948427539656e-05
2019-02-19,-5.272350442621127e-05
2019-02-20,-0.00011719644702659694
2019-02-21,-0.00014200585229083692
2019-02-22,-0.00014658041850785372
2019-02-23,-0.0001467730888807537
2019-02-24,-0.00014696575925365397
2019-02-25,-0.0001379087425430354
2019-02-26,-0.00011526053117822986
2019-02-27,-0.00010744616645265608
2019-02-28,-0.00010955181089220592
2019-03-01,-0.00010694477974932717
2019-03-02,-0.00010738408326164479
2019-03-03,-0.00010782338677396235
2019-03-04,-0.0001165171047846971
2019-03-05,-0.00014517997322291486
2019-03-06,-0.00015957757079526857
2019-03-07,-0.00016885765507766265
2019-03-08,-0.00018016513605167463
2019-03-09,-0.00017970228987890626
2019-03-10,-0.00017923944370613735
2019-03-11,-0.00020817388201893426
2019-03-12,-0.00023453717685148348
2019-03-13,-0.0002422286211369665
2019-03-14,-0.00023883362901549486
2019-03-15,-0.00025200055869723946
2019-03-16,-0.0002512808462282524
2019-03-17,-0.000250561133759265
2019-03-18,-0.00027483818701434836
2019-03-19,-0.00027801586166360977
2019-03-20,-0.00025973859819184466
2019-03-21,-0.0002516823127394804
2019-03-22,-0.00020868977720039445
2019-03-23,-0.00020784480087674
2019-03-24,-0.00020699982455308496
2019-03-25,-0.00019301914038258772
2019-03-26,-0.00022617854019521365
2019-03-27,-0.00022990635690502668
2019-03-28,-0.0002453298603279523
2019-03-29,-0.00025624148492192026
2019-03-30,-0.00025535207716162646
2019-03-31,-0.00025446266940133244
2019-04-01,-0.00026957711507407983
2019-04-02,-0.0002747192931202519
2019-04-03,-0.0002708914579384583
2019-04-04,-0.0002605438737260231
2019-04-05,-0.00026446929283076954
2019-04-06,-0.0002640168812372953
2019-04-07,-0.0002635644696438208
2019-04-08,-0.00025278293401305007
2019-04-09,-0.00026208427086928923
2019-04-10,-0.0002610416107122446
2019-04-11,-0.00026246031825893814
2019-04-12,-0.0002664026238139236
2019-04-13,-0.00026615060401457706
2019-04-14,-0.00026589858421523037
2019-04-15,-0.0002675333301291594
2019-04-16,-0.0002779623634018295
2019-04-17,-0.0002904291297812771
2019-04-18,-0.00028881361004471197
2019-04-19,-0.00028868220010468213
2019-04-20,-0.0002885507901646522
2019-04-21,-0.0002884193802246223
2019-04-22,-0.0002926589172826058
2019-04-23,-0.0002886513432946807
2019-04-24,-0.0002903072407804334
2019-04-25,-0.00029276263052971797
2019-04-26,-0.00028703341640604464
2019-04-27,-0.00028689454294123526
2019-04-28,-0.0002867556694764261
2019-04-29,-0.0002980604449490396
2019-04-30,-0.00029781622655941967
2019-05-01,-0.0002945697705178814
2019-05-02,-0.0002983362176898519
2019-05-03,-0.00029441292016301824
2019-05-04,-0.0002943771768484204
2019-05-05,-0.0002943414335338225
2019-05-06,-0.00027590876691218626
2019-05-07,-0.00024228904871623327
2019-05-08,-0.00022538909223691566
2019-05-09,-0.0002445897071902597
2019-05-10,-0.00024488525040313667
2019-05-11,-0.0002443264424326054
2019-05-12,-0.00024376763446207412
2019-05-13,-0.00022155159122673926
