Date,UBS - BAC Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,5.842299605127566e-08
2019-01-04,4.747971854077705e-07
2019-01-05,5.556116359402703e-07
2019-01-06,6.364260864727879e-07
2019-01-07,-2.8233034476014756e-06
2019-01-08,-4.330659549320902e-06
2019-01-09,9.844063309927414e-07
2019-01-10,-3.892131005304379e-06
2019-01-11,6.607400895937306e-08
2019-01-12,1.8098735564983396e-07
2019-01-13,2.9590070234033636e-07
2019-01-14,5.0269531649299975e-06
2019-01-15,1.2125384259015442e-05
2019-01-16,3.723146368431889e-05
2019-01-17,6.264251090604345e-05
2019-01-18,5.495418403122074e-05
2019-01-19,5.5642949973626896e-05
2019-01-20,5.633171591603255e-05
2019-01-21,5.702048185843819e-05
2019-01-22,0.00016040862853208178
2019-01-23,0.0001417805189611284
2019-01-24,0.00014177148524285456
2019-01-25,0.00014523394869327607
2019-01-26,0.0001460649717331085
2019-01-27,0.00014689599477294088
2019-01-28,0.00015903741260792932
2019-01-29,0.00016210741221602259
2019-01-30,0.00012718957570263448
2019-01-31,0.00015419036136552362
2019-02-01,0.00016618537796618714
2019-02-02,0.000166830847673142
2019-02-03,0.00016747631738009677
2019-02-04,0.00017637407565695748
2019-02-05,0.0001481047550298097
2019-02-06,0.00015261769199770438
2019-02-07,0.00018039416009284654
2019-02-08,0.00019260861040372828
2019-02-09,0.00019327171431110377
2019-02-10,0.0001939348182184792
2019-02-11,0.0001929776437599485
2019-02-12,0.00017562593174810356
2019-02-13,0.00016352461290665622
2019-02-14,0.00019555589492866696
2019-02-15,0.00015828281535427605
2019-02-16,0.00015905307768836256
2019-02-17,0.00015982334002244988
2019-02-18,0.00016059360235653713
2019-02-19,0.0001661737024606942
2019-02-20,0.00024183451380815115
2019-02-21,0.0002669425921688336
2019-02-22,0.0002699403498031557
2019-02-23,0.0002708187173406605
2019-02-24,0.0002716970848781653
2019-02-25,0.0002498184701841975
2019-02-26,0.00022551531053885312
2019-02-27,0.0002177964326742283
2019-02-28,0.0002183361130848038
2019-03-01,0.00021142865600137708
2019-03-02,0.00021228060809744503
2019-03-03,0.00021313256019351302
2019-03-04,0.00022868904187312
2019-03-05,0.00025082323747551257
2019-03-06,0.00027573526163992906
2019-03-07,0.00033556222694806144
2019-03-08,0.00034446897129234176
2019-03-09,0.00034534523965083384
2019-03-10,0.00034622150800932603
2019-03-11,0.0003114280199026134
2019-03-12,0.00031076323262056157
2019-03-13,0.0002793622217026593
2019-03-14,0.00027107288383517684
2019-03-15,0.0002845305356840921
2019-03-16,0.0002854713846933193
2019-03-17,0.0002864122337025461
2019-03-18,0.00022740711784502524
2019-03-19,0.00022006559401426492
2019-03-20,0.00027927977577220316
2019-03-21,0.00030241450169046715
2019-03-22,0.00038100128163829077
2019-03-23,0.0003815638998645643
2019-03-24,0.00038212651809083834
2019-03-25,0.0003926244855904438
2019-03-26,0.0003712211767449781
2019-03-27,0.0003712646556114886
2019-03-28,0.00036230410152267116
2019-03-29,0.0003419117477095729
2019-03-30,0.0003425457731802765
2019-03-31,0.00034317979865097916
2019-04-01,0.00028253946142493705
2019-04-02,0.00027437504490667526
2019-04-03,0.00025849757210003293
2019-04-04,0.00024510909493599274
2019-04-05,0.00025169264351699
2019-04-06,0.00025252934538844374
2019-04-07,0.0002533660472598977
2019-04-08,0.00025714112067840294
2019-04-09,0.0002648951114822384
2019-04-10,0.0002693570269132266
2019-04-11,0.00023282190860404435
2019-04-12,0.0002010524562292005
2019-04-13,0.00020203731549678795
2019-04-14,0.0002030221747643753
2019-04-15,0.00019363347586976232
2019-04-16,0.0001599921496268024
2019-04-17,0.0001253332352135237
2019-04-18,0.00013841173905031675
2019-04-19,0.0001392970131383342
2019-04-20,0.0001401822872263518
2019-04-21,0.00014106756131436926
2019-04-22,0.00014205966108848234
2019-04-23,0.00017293149192590558
2019-04-24,0.0001597528848554388
2019-04-25,0.00013818810388666508
2019-04-26,0.0001424338007509385
2019-04-27,0.0001433719270258336
2019-04-28,0.00014431005330072864
2019-04-29,0.00010369643268231008
2019-04-30,0.00011975126785620899
2019-05-01,0.00014798085933835251
2019-05-02,0.00013196572651533444
2019-05-03,0.0001438144453056327
2019-05-04,0.00014481021012087983
2019-05-05,0.0001458059749361279
2019-05-06,0.0002994815317275213
2019-05-07,0.0003808038765167022
2019-05-08,0.00037706296468861957
2019-05-09,0.00040773733099498097
2019-05-10,0.000412233498958318
2019-05-11,0.00041324591156098465
2019-05-12,0.0004142583241636513
2019-05-13,0.0005283673793243297
2019-05-14,0.0005060905842518765
2019-05-15,0.0005279288883996784
2019-05-16,0.00048791275543022837
2019-05-17,0.0005018602634335611
2019-05-18,0.0005026825033067703
2019-05-19,0.0005035047431799789
2019-05-20,0.0004994264468633178
2019-05-21,0.0004812902277817676
2019-05-22,0.0005089726904874614
2019-05-23,0.000566570539592259
2019-05-24,0.0005287193714676377
2019-05-25,0.0005295088036372415
2019-05-26,0.0005302982358068454
2019-05-27,0.0005310876679764488
2019-05-28,0.0005755833809633013
2019-05-29,0.0005903476982400377
2019-05-30,0.0006363884843929401
2019-05-31,0.0006876118679078482
2019-06-01,0.0006881815749675743
2019-06-02,0.0006887512820272993
2019-06-03,0.0006810816680617849
2019-06-04,0.0005721555245706447
2019-06-05,0.0005755733471253197
2019-06-06,0.0005762237636959311
2019-06-07,0.0005960826495990751
2019-06-08,0.0005967658689360718
2019-06-09,0.0005974490882730693
2019-06-10,0.0005595544905478494
2019-06-11,0.0005439621286994717
