Date,UBS - WFC Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,2.8550126487450793e-08
2019-01-04,-1.1978893469597736e-06
2019-01-05,-1.1169065047949977e-06
2019-01-06,-1.0359236626301173e-06
2019-01-07,-4.643743374089356e-06
2019-01-08,-5.631132841874136e-06
2019-01-09,-3.307335238802174e-06
2019-01-10,-5.600594784275869e-06
2019-01-11,-5.58230214422846e-06
2019-01-12,-5.5176706810225366e-06
2019-01-13,-5.453039217816711e-06
2019-01-14,-1.2653212456403165e-06
2019-01-15,-8.428686335593117e-06
2019-01-16,7.752576969833983e-07
2019-01-17,6.921147657205561e-06
2019-01-18,1.3653508612705959e-05
2019-01-19,1.3889814206752765e-05
2019-01-20,1.4126119800799579e-05
2019-01-21,1.4362425394846368e-05
2019-01-22,4.579768390547504e-05
2019-01-23,4.1919036519046376e-05
2019-01-24,4.022766424147745e-05
2019-01-25,3.997080864945665e-05
2019-01-26,4.023082703400325e-05
2019-01-27,4.049084541854982e-05
2019-01-28,4.176268220533614e-05
2019-01-29,4.360568448098272e-05
2019-01-30,3.60179388122606e-05
2019-01-31,3.884968393353995e-05
2019-02-01,4.197139897749538e-05
2019-02-02,4.213457023956831e-05
2019-02-03,4.229774150164124e-05
2019-02-04,4.41740215746796e-05
2019-02-05,3.8039325949560724e-05
2019-02-06,3.913764605203282e-05
2019-02-07,4.2665147214570814e-05
2019-02-08,4.420200232305422e-05
2019-02-09,4.426118873355771e-05
2019-02-10,4.43203751440612e-05
2019-02-11,4.426544155090297e-05
2019-02-12,4.128414976312332e-05
2019-02-13,3.8275929112115486e-05
2019-02-14,4.520376737554859e-05
2019-02-15,3.720361972536909e-05
2019-02-16,3.739103444425682e-05
2019-02-17,3.757844916314478e-05
2019-02-18,3.7765863882032724e-05
2019-02-19,3.9505665683161076e-05
2019-02-20,5.942921718808516e-05
2019-02-21,6.752573214853635e-05
2019-02-22,7.170106817501839e-05
2019-02-23,7.188870535629515e-05
2019-02-24,7.207634253757193e-05
2019-02-25,6.27515449088044e-05
2019-02-26,5.651522398574261e-05
2019-02-27,5.381725645467595e-05
2019-02-28,5.3110077969415875e-05
2019-03-01,5.099341847117865e-05
2019-03-02,5.125589488913792e-05
2019-03-03,5.151837130709721e-05
2019-03-04,5.5714861150694694e-05
2019-03-05,6.430416576050008e-05
2019-03-06,7.152461452025805e-05
2019-03-07,9.045628847167283e-05
2019-03-08,9.27908509731055e-05
2019-03-09,9.305670476666951e-05
2019-03-10,9.332255856023357e-05
2019-03-11,8.572528778694443e-05
2019-03-12,8.698821974060328e-05
2019-03-13,7.70466148371406e-05
2019-03-14,7.103041187923431e-05
2019-03-15,7.099311685374744e-05
2019-03-16,7.132178824265708e-05
2019-03-17,7.16504596315667e-05
2019-03-18,4.200674035989296e-05
2019-03-19,3.9803507905559555e-05
2019-03-20,6.505797860005494e-05
2019-03-21,7.572077505289503e-05
2019-03-22,0.00011304819827954963
2019-03-23,0.00011318833187524663
2019-03-24,0.00011332846547094365
2019-03-25,0.00011857864407040872
2019-03-26,9.906586598809814e-05
2019-03-27,0.00010010212411099246
2019-03-28,9.589591433265562e-05
2019-03-29,0.00010502234366135729
2019-03-30,0.00010515647837936403
2019-03-31,0.0001052906130973706
2019-04-01,9.133593599457142e-05
2019-04-02,9.74344449973514e-05
2019-04-03,8.844509613209561e-05
2019-04-04,8.41977116049814e-05
2019-04-05,8.83181046859856e-05
2019-04-06,8.847885877059919e-05
2019-04-07,8.863961285521279e-05
2019-04-08,8.888638650398344e-05
2019-04-09,9.58267729879334e-05
2019-04-10,0.0001000434516740022
2019-04-11,9.755461714327273e-05
2019-04-12,0.00010349324692847706
2019-04-13,0.0001034444437066519
2019-04-14,0.00010339564048482672
2019-04-15,0.00010301451518664447
2019-04-16,0.00010177143033242106
2019-04-17,9.982431508947351e-05
2019-04-18,0.0001005003497194421
2019-04-19,0.00010053736480797566
2019-04-20,0.00010057437989650922
2019-04-21,0.00010061139498504279
2019-04-22,9.982212707654679e-05
2019-04-23,0.00010047201592489627
2019-04-24,0.00010011404452828051
2019-04-25,9.937533511351855e-05
2019-04-26,0.000100767852804303
2019-04-27,0.00010083737532070325
2019-04-28,0.0001009068978371035
2019-04-29,9.840342122325091e-05
2019-04-30,0.00010106376494432676
2019-05-01,0.00010372352537527628
2019-05-02,0.0001021239453954848
2019-05-03,0.00010443228664290432
2019-05-04,0.00010456056043431853
2019-05-05,0.0001046888342257329
2019-05-06,0.00012419384566854353
2019-05-07,0.00014576226461974004
2019-05-08,0.00014868977812569075
2019-05-09,0.00015258734069506128
2019-05-10,0.00014474838451932647
2019-05-11,0.00014477926796981668
2019-05-12,0.00014481015142030687
2019-05-13,0.0001608064874032248
2019-05-14,0.00015690098844078443
2019-05-15,0.0001735396089251718
2019-05-16,0.0001768965322226828
