Date,UBS - TFC Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,4.527309387318038e-08
2019-01-04,-1.5048916961244e-06
2019-01-05,-1.3879251141553892e-06
2019-01-06,-1.2709585321862648e-06
2019-01-07,-1.5568123837909477e-06
2019-01-08,-1.260998196257773e-06
2019-01-09,4.0423673887274144e-06
2019-01-10,-3.567784749752385e-06
2019-01-11,-8.755927787971594e-06
2019-01-12,-8.576836352188057e-06
2019-01-13,-8.397744916404407e-06
2019-01-14,-3.667963758914668e-06
2019-01-15,7.781533660828399e-07
2019-01-16,2.832363736960056e-06
2019-01-17,2.055079780277921e-05
2019-01-18,2.8945983557617165e-05
2019-01-19,2.9548184176828772e-05
2019-01-20,3.0150384796039888e-05
2019-01-21,3.0752585415251424e-05
2019-01-22,9.765119368048265e-05
2019-01-23,8.850245683984488e-05
2019-01-24,8.565925093899466e-05
2019-01-25,8.409167231294682e-05
2019-01-26,8.467055473152999e-05
2019-01-27,8.524943715011309e-05
2019-01-28,9.138342358243267e-05
2019-01-29,9.539573590628662e-05
2019-01-30,7.375716277190359e-05
2019-01-31,9.622919456457767e-05
2019-02-01,0.00010582325152133697
2019-02-02,0.00010633545506583104
2019-02-03,0.00010684765861032516
2019-02-04,0.00011198761246916726
2019-02-05,9.235366602339964e-05
2019-02-06,9.416851419854973e-05
2019-02-07,0.00012505639423071184
2019-02-08,0.00013750758119501227
2019-02-09,0.0001381487698829663
2019-02-10,0.0001387899585709203
2019-02-11,0.00013767721716101408
2019-02-12,0.00012050344609774153
2019-02-13,0.00010830217900625481
2019-02-14,0.00013731311282817063
2019-02-15,0.00010438317692987247
2019-02-16,0.00010508838024458198
2019-02-17,0.00010579358355929233
2019-02-18,0.00010649878687400252
2019-02-19,0.00011257363991036348
2019-02-20,0.00018249750016187247
2019-02-21,0.00020425887316450722
2019-02-22,0.00020659798576209027
2019-02-23,0.0002073422770235361
2019-02-24,0.00020808656828498167
2019-02-25,0.00019204478979343448
2019-02-26,0.00017282210107542396
2019-02-27,0.00016695879149885632
2019-02-28,0.00016507965320350536
2019-03-01,0.0001572088699116674
2019-03-02,0.00015800828453307766
2019-03-03,0.00015880769915448806
2019-03-04,0.00017244370631809585
2019-03-05,0.00019673507658922966
2019-03-06,0.00022693567053116344
2019-03-07,0.0002889530859614178
2019-03-08,0.00029803199304858724
2019-03-09,0.0002985572071031913
2019-03-10,0.00029908242115779526
2019-03-11,0.0002720607694335143
2019-03-12,0.00027696581558376275
2019-03-13,0.0002534916616528337
2019-03-14,0.00024841778187646485
2019-03-15,0.0002576248651852538
2019-03-16,0.0002582096353669262
2019-03-17,0.0002587944055485983
2019-03-18,0.00021611924820840207
2019-03-19,0.00021711617395641053
2019-03-20,0.00025831860968809943
2019-03-21,0.0002775427796685922
2019-03-22,0.0003353111969770467
2019-03-23,0.0003353457543671467
2019-03-24,0.0003353803117572472
2019-03-25,0.0003416173267065036
2019-03-26,0.00032850573269790884
2019-03-27,0.000324035959451413
2019-03-28,0.00030532496353850326
2019-03-29,0.0002944623270183456
2019-03-30,0.00029467340869146464
2019-03-31,0.0002948844903645834
2019-04-01,0.0002500641003262682
2019-04-02,0.00024358236174611876
2019-04-03,0.00023331495762838068
2019-04-04,0.00022763285608168416
2019-04-05,0.00023168344572952994
2019-04-06,0.00023212291686393398
2019-04-07,0.00023256238799833776
2019-04-08,0.00023416172807295423
2019-04-09,0.0002424570349708818
2019-04-10,0.00024477977995454744
2019-04-11,0.000218881119146353
2019-04-12,0.0002013593975535175
2019-04-13,0.0002019109353681212
2019-04-14,0.00020246247318272503
2019-04-15,0.00019826418394500552
2019-04-16,0.0001765498962801815
2019-04-17,0.00015360251940858258
2019-04-18,0.0001602390689605427
2019-04-19,0.00016082592668497205
2019-04-20,0.00016141278440940152
2019-04-21,0.00016199964213383094
2019-04-22,0.0001622531242608243
2019-04-23,0.00018219034576536088
2019-04-24,0.0001734069161495196
2019-04-25,0.00015875280766338676
2019-04-26,0.0001624295700107895
2019-04-27,0.00016315924278544945
2019-04-28,0.0001638889155601094
2019-04-29,0.00013358717155255377
2019-04-30,0.0001468051918727151
2019-05-01,0.0001680366180824806
2019-05-02,0.00015483574198613083
2019-05-03,0.0001639841839273596
2019-05-04,0.0001647404639466985
2019-05-05,0.00016549674396603808
2019-05-06,0.00027818179524400917
2019-05-07,0.0003416207507946405
2019-05-08,0.00034543977255857886
2019-05-09,0.00036079846724097883
2019-05-10,0.0003520704071676232
2019-05-11,0.0003526360984356573
2019-05-12,0.00035320178970369136
2019-05-13,0.00043644676620702226
2019-05-14,0.0004406666499607884
2019-05-15,0.00045673078460013695
2019-05-16,0.00042133020378823567
2019-05-17,0.0004329141756193005
2019-05-18,0.0004332611053594318
2019-05-19,0.0004336080350995625
2019-05-20,0.00041760997446725666
2019-05-21,0.0004022709520130418
2019-05-22,0.0004118360056474075
2019-05-23,0.00045408028594935224
2019-05-24,0.00043364876659159144
2019-05-25,0.00043404003585698043
2019-05-26,0.00043443130512236996
2019-05-27,0.0004348225743877589
2019-05-28,0.0004821615229324125
2019-05-29,0.000484569189259183
2019-05-30,0.0005030132555180127
2019-05-31,0.0005355506573166395
2019-06-01,0.0005357380216298224
2019-06-02,0.0005359253859430053
2019-06-03,0.0005197894119657108
2019-06-04,0.00042576108871306
2019-06-05,0.0004120381822431185
2019-06-06,0.00041265246419983916
2019-06-07,0.00042331555431261497
2019-06-08,0.0004237517437750678
2019-06-09,0.0004241879332375199
2019-06-10,0.00039317476629341873
