Date,UBS - MUFG Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,4.219361895868809e-08
2019-01-04,-4.442121403223235e-06
2019-01-05,-4.244913835099301e-06
2019-01-06,-4.047706266974959e-06
2019-01-07,-1.415279700242002e-05
2019-01-08,-8.418028299263642e-06
2019-01-09,-8.288269156089248e-06
2019-01-10,-6.953482693260784e-06
2019-01-11,-8.395583092320298e-06
2019-01-12,-8.140462215876635e-06
2019-01-13,-7.885341339433383e-06
2019-01-14,-1.4235038823397945e-05
2019-01-15,-8.880256774248885e-06
2019-01-16,-3.884612848298142e-05
2019-01-17,-2.9692505494197166e-05
2019-01-18,-3.210910768785122e-05
2019-01-19,-3.1923818318166266e-05
2019-01-20,-3.17385289484813e-05
2019-01-21,-3.155323957879601e-05
2019-01-22,1.878474039207547e-05
2019-01-23,1.0177744341045576e-05
2019-01-24,1.6651469975515977e-05
2019-01-25,1.6340822505499303e-05
2019-01-26,1.675028690438903e-05
2019-01-27,1.7159751303278687e-05
2019-01-28,2.027650992831552e-05
2019-01-29,2.2535700727897714e-05
2019-01-30,1.0788414093092585e-05
2019-01-31,3.875661263256193e-05
2019-02-01,3.97794145651025e-05
2019-02-02,4.0114781531292355e-05
2019-02-03,4.045014849748215e-05
2019-02-04,4.648292469757373e-05
2019-02-05,2.8832081430567287e-05
2019-02-06,3.1740330734738165e-05
2019-02-07,4.651431246034529e-05
2019-02-08,5.267142992497384e-05
2019-02-09,5.297792451745786e-05
2019-02-10,5.3284419109941834e-05
2019-02-11,5.261263074631035e-05
2019-02-12,4.300234702602778e-05
2019-02-13,3.4497151639535135e-05
2019-02-14,5.0563008060583305e-05
2019-02-15,3.1892904291672006e-05
2019-02-16,3.226177851234088e-05
2019-02-17,3.26306527330103e-05
2019-02-18,3.299952695367964e-05
2019-02-19,3.808664529699563e-05
2019-02-20,8.302402349885692e-05
2019-02-21,0.00010009325799536191
2019-02-22,0.0001025901447166655
2019-02-23,0.00010312222625824037
2019-02-24,0.00010365430779981522
2019-02-25,9.629508603821326e-05
2019-02-26,8.790187162182377e-05
2019-02-27,8.628004321029983e-05
2019-02-28,8.593094930276933e-05
2019-03-01,8.438775036493745e-05
2019-03-02,8.471431979109668e-05
2019-03-03,8.504088921725594e-05
2019-03-04,9.028269506409188e-05
2019-03-05,9.605846925182992e-05
2019-03-06,0.00010793017209680145
2019-03-07,0.00014418046584699118
2019-03-08,0.00015416748092552244
2019-03-09,0.0001545224040901198
2019-03-10,0.00015487732725471718
2019-03-11,0.00015954439888912398
2019-03-12,0.00014271472627144267
2019-03-13,0.0001372447757628848
2019-03-14,0.0001407378552306041
2019-03-15,0.00012879306642135533
2019-03-16,0.0001292139323442451
2019-03-17,0.0001296347982671351
2019-03-18,0.00012069397486303393
2019-03-19,0.00011505216849578354
2019-03-20,0.00013231170783454123
2019-03-21,0.0001370027540404562
2019-03-22,0.00016679024710826958
2019-03-23,0.00016713153814908272
2019-03-24,0.00016747282918989543
2019-03-25,0.00017788091659854522
2019-03-26,0.00016507317033741888
2019-03-27,0.00015880302099453337
2019-03-28,0.00018005910509492386
2019-03-29,0.00019769072445976376
2019-03-30,0.00019781745328907276
2019-03-31,0.00019794418211838168
2019-04-01,0.00017175025472719726
2019-04-02,0.00016645988103373676
2019-04-03,0.00016287059221807538
2019-04-04,0.00016192925023573613
2019-04-05,0.00016020596921382862
2019-04-06,0.00016047612461049106
2019-04-07,0.00016074628000715347
2019-04-08,0.00016597383810346155
2019-04-09,0.00017551159212161242
2019-04-10,0.00017707391801150083
2019-04-11,0.00019124266879197313
2019-04-12,0.00018878982305502151
2019-04-13,0.00018880315202933696
2019-04-14,0.00018881648100365237
2019-04-15,0.0001915653268809934
2019-04-16,0.00019315712937572601
2019-04-17,0.00019500086748563573
2019-04-18,0.00019602317593464985
2019-04-19,0.0001960473394769294
2019-04-20,0.0001960715030192089
2019-04-21,0.0001960956665614884
2019-04-22,0.00019125139797135693
2019-04-23,0.00018617748200770232
2019-04-24,0.00018917946354702315
2019-04-25,0.00019586803340437698
2019-04-26,0.0001959635153586249
2019-04-27,0.0001956419198748743
2019-04-28,0.00019532032439112368
2019-04-29,0.00021060822380141397
2019-04-30,0.0002063313344231652
2019-05-01,0.00019869601629130007
2019-05-02,0.00020117796441536975
2019-05-03,0.00020133432266142263
2019-05-04,0.00020107859689195108
2019-05-05,0.00020082287112247938
2019-05-06,0.0001675089257137403
2019-05-07,0.00016297731654550896
2019-05-08,0.00017594013262910244
2019-05-09,0.0001715667499075163
2019-05-10,0.00018981262079146669
2019-05-11,0.00018960038130446955
2019-05-12,0.00018938814181747201
2019-05-13,0.00019200345623063094
2019-05-14,0.00016148993341457687
2019-05-15,0.00018687526182185982
2019-05-16,0.00025215951368016157
2019-05-17,0.00024205520399278254
2019-05-18,0.00024161915126857806
2019-05-19,0.0002411830985443735
2019-05-20,0.0002478874774202673
2019-05-21,0.00022932626688424395
2019-05-22,0.00021246907262901837
2019-05-23,0.00021660701496129464
2019-05-24,0.00019658661764015558
2019-05-25,0.0001963003208435509
2019-05-26,0.0001960140240469463
2019-05-27,0.00019572772725034117
2019-05-28,0.00016574162532020334
2019-05-29,0.00016996092832046177
2019-05-30,0.00017820267419729765
2019-05-31,0.0001459312979062265
2019-06-01,0.00014570933070139937
2019-06-02,0.00014548736349657233
2019-06-03,0.00015263527281651057
2019-06-04,0.0001565358218451829
2019-06-05,0.00016370871821446702
2019-06-06,0.00016135780437919698
2019-06-07,0.00015534467679491934
