Date,UBS - SMFG Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,7.945841920782366e-08
2019-01-04,-5.402697804238634e-06
2019-01-05,-5.117283575927894e-06
2019-01-06,-4.8318693476168095e-06
2019-01-07,-1.308473450819967e-05
2019-01-08,-1.1933263062400279e-05
2019-01-09,-8.110248284134255e-06
2019-01-10,-9.71217332420403e-06
2019-01-11,-9.509032570509622e-06
2019-01-12,-9.053590839636859e-06
2019-01-13,-8.598149108764408e-06
2019-01-14,-1.4715799801739842e-05
2019-01-15,-1.1675219634499606e-05
2019-01-16,-4.20543078337998e-05
2019-01-17,-2.9019541340534358e-05
2019-01-18,-3.1756558424609877e-05
2019-01-19,-3.1241687135081474e-05
2019-01-20,-3.072681584555312e-05
2019-01-21,-3.0211944556024768e-05
2019-01-22,3.134863992244941e-05
2019-01-23,2.388163301636669e-05
2019-01-24,2.9772268418979123e-05
2019-01-25,3.170017960266969e-05
2019-01-26,3.2393140901437124e-05
2019-01-27,3.3086102200204654e-05
2019-01-28,4.140770886303261e-05
2019-01-29,4.781338050461351e-05
2019-01-30,2.5320818779370213e-05
2019-01-31,6.461139037293578e-05
2019-02-01,6.982924499495452e-05
2019-02-02,7.043557155482427e-05
2019-02-03,7.1041898114694e-05
2019-02-04,7.721339259273415e-05
2019-02-05,5.298266426049218e-05
2019-02-06,5.768208800971729e-05
2019-02-07,7.665680580813607e-05
2019-02-08,8.483364359714604e-05
2019-02-09,8.523656995510814e-05
2019-02-10,8.563949631307018e-05
2019-02-11,8.50958341451277e-05
2019-02-12,7.34319976177334e-05
2019-02-13,6.472330396418795e-05
2019-02-14,8.78873641192309e-05
2019-02-15,6.060805184641823e-05
2019-02-16,6.120667015719698e-05
2019-02-17,6.180528846797647e-05
2019-02-18,6.240390677875594e-05
2019-02-19,6.933770672966614e-05
2019-02-20,0.00013455384343943015
2019-02-21,0.00016009349435100814
2019-02-22,0.00015948516480103605
2019-02-23,0.0001601547356976784
2019-02-24,0.0001608243065943207
2019-02-25,0.00014943956118876575
2019-02-26,0.0001338492157730319
2019-02-27,0.0001308679165165554
2019-02-28,0.00013171078137596485
2019-03-01,0.00012840217816188624
2019-03-02,0.00012889167060890403
2019-03-03,0.00012938116305592193
2019-03-04,0.00013875498617621908
2019-03-05,0.00014826880336051424
2019-03-06,0.0001669674096762805
2019-03-07,0.0002183890787917442
2019-03-08,0.00022675221063372966
2019-03-09,0.00022706038729560199
2019-03-10,0.0002273685639574743
2019-03-11,0.000206623907584608
2019-03-12,0.00020089208662749341
2019-03-13,0.00017769651888315343
2019-03-14,0.00017715337494193833
2019-03-15,0.000171708339009226
2019-03-16,0.0001722457186096354
2019-03-17,0.00017278309821004502
2019-03-18,0.0001371659070970153
2019-03-19,0.0001294201529891477
2019-03-20,0.0001598748932892917
2019-03-21,0.00016651124600531203
2019-03-22,0.0002295853405905219
2019-03-23,0.00023010301532443617
2019-03-24,0.00023062069005835045
2019-03-25,0.00023375555375444284
2019-03-26,0.0002002780113817833
2019-03-27,0.00018970210905674322
2019-03-28,0.0002152504974406774
2019-03-29,0.0002210858194551756
2019-03-30,0.000221512132572029
2019-03-31,0.0002219384456888817
2019-04-01,0.00016808584443548283
2019-04-02,0.00016097673491972508
2019-04-03,0.00014483566419979825
2019-04-04,0.000135052356665382
2019-04-05,0.00014141729199047172
2019-04-06,0.0001420758004505914
2019-04-07,0.00014273430891071113
2019-04-08,0.00015018041290630068
2019-04-09,0.0001631258033096476
2019-04-10,0.00016954214232880956
2019-04-11,0.0001613304405933339
2019-04-12,0.00014646992243162637
2019-04-13,0.000146923506097866
2019-04-14,0.00014737708976410557
2019-04-15,0.0001428541859485525
2019-04-16,0.00012566406496984577
2019-04-17,0.00010850966866838878
2019-04-18,0.00011870621037071469
2019-04-19,0.00011932992244329671
2019-04-20,0.00011995363451587873
2019-04-21,0.0001205773465884607
2019-04-22,0.00011896654677077673
2019-04-23,0.00013814355245444484
2019-04-24,0.0001306232366243816
2019-04-25,0.00012025849102412698
2019-04-26,0.0001258963256184563
2019-04-27,0.00012646270653023496
2019-04-28,0.0001270290874420136
2019-04-29,0.00010224156403763916
2019-04-30,0.00011315934008646429
2019-05-01,0.0001305052943314678
2019-05-02,0.0001200895156508797
2019-05-03,0.00012880651797672062
2019-05-04,0.00012943453990296743
2019-05-05,0.00013006256182921487
2019-05-06,0.00022516747942982236
2019-05-07,0.0002731588282901992
2019-05-08,0.00026860012352003775
2019-05-09,0.00030105639019242797
2019-05-10,0.00030555629775250593
2019-05-11,0.0003060480674536627
2019-05-12,0.0003065398371548195
2019-05-13,0.00037907889529455185
2019-05-14,0.0003521070734542862
2019-05-15,0.0003374460943027257
2019-05-16,0.0003141209539766882
2019-05-17,0.00034238297268766405
2019-05-18,0.0003427680904034432
2019-05-19,0.0003431532081192229
2019-05-20,0.0003413641060278597
2019-05-21,0.0003281260659254358
2019-05-22,0.00035074644200448345
2019-05-23,0.0003803642621661565
2019-05-24,0.0003272143992782849
2019-05-25,0.0003276727189832466
2019-05-26,0.0003281310386882083
2019-05-27,0.0003285893583931695
2019-05-28,0.00035574526264882855
2019-05-29,0.00036625161809345364
2019-05-30,0.00036566959021828483
2019-05-31,0.0003988350773515555
2019-06-01,0.00039923092442510833
2019-06-02,0.00039962677149866187
2019-06-03,0.00044751998709090105
2019-06-04,0.0003813700408798834
2019-06-05,0.0003900093406990197
2019-06-06,0.00038211591724146316
2019-06-07,0.0003737363800283514
2019-06-08,0.00037414962334368336
