Date,UBS - BNS Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,-1.656797167530203e-08
2019-01-04,-3.86743052479023e-06
2019-01-05,-3.782037644763074e-06
2019-01-06,-3.6966447647357994e-06
2019-01-07,-3.0106826991834913e-06
2019-01-08,4.3477553519029986e-07
2019-01-09,1.4154719448633588e-05
2019-01-10,7.979822266788812e-06
2019-01-11,1.9257545531090437e-06
2019-01-12,2.293274514872639e-06
2019-01-13,2.660794476636126e-06
2019-01-14,-5.309464835803075e-06
2019-01-15,3.099083081475861e-06
2019-01-16,-1.533719130278361e-05
2019-01-17,1.584163606583302e-06
2019-01-18,-7.985482517505361e-06
2019-01-19,-7.483361386566095e-06
2019-01-20,-6.981240255626876e-06
2019-01-21,-6.4791191246876635e-06
2019-01-22,6.861210910585723e-05
2019-01-23,5.487889460027641e-05
2019-01-24,5.396627916644243e-05
2019-01-25,5.6415998360151936e-05
2019-01-26,5.700314171024834e-05
2019-01-27,5.7590285060344466e-05
2019-01-28,6.597237237584842e-05
2019-01-29,7.338840792494458e-05
2019-01-30,5.34009389136274e-05
2019-01-31,9.143311342433856e-05
2019-02-01,0.00010271292829245228
2019-02-02,0.00010340827379198771
2019-02-03,0.00010410361929152316
2019-02-04,0.00011120075554210393
2019-02-05,8.490604826873374e-05
2019-02-06,8.85184180998243e-05
2019-02-07,0.00011874912728886749
2019-02-08,0.00013167151757259763
2019-02-09,0.0001323518413929942
2019-02-10,0.00013303216521339076
2019-02-11,0.00013260218046687972
2019-02-12,0.00011578599839458703
2019-02-13,0.00010404396525016745
2019-02-14,0.00013502505986014737
2019-02-15,9.990454471331444e-05
2019-02-16,0.00010059978993354474
2019-02-17,0.00010129503515377588
2019-02-18,0.00010199028037400697
2019-02-19,0.00010747376052392982
2019-02-20,0.00017706363920785013
2019-02-21,0.0002017748297762926
2019-02-22,0.00019836594716955908
2019-02-23,0.00019921142705050092
2019-02-24,0.00020005690693144303
2019-02-25,0.0001830335718595615
2019-02-26,0.00017375933624525186
2019-02-27,0.00017058680159258132
2019-02-28,0.00016783352199907075
2019-03-01,0.00016725237014418722
2019-03-02,0.00016775958315563038
2019-03-03,0.0001682667961670736
2019-03-04,0.0001764765722476124
2019-03-05,0.00019341303211645031
2019-03-06,0.0002073201673775396
2019-03-07,0.00024330105814891891
2019-03-08,0.00024705488940125644
2019-03-09,0.000247546838118782
2019-03-10,0.00024803878683630814
2019-03-11,0.00022801918319764316
2019-03-12,0.00022106855206512058
2019-03-13,0.00020312742078707757
2019-03-14,0.00020238882741514916
2019-03-15,0.00020595769087667292
2019-03-16,0.00020652436438649735
2019-03-17,0.00020709103789632178
2019-03-18,0.00017209738303785503
2019-03-19,0.000165711613097604
2019-03-20,0.00019828507965638268
2019-03-21,0.0002156493387411116
2019-03-22,0.0002663471393789153
2019-03-23,0.000266754295929799
2019-03-24,0.0002671614524806834
2019-03-25,0.00027848375222810413
2019-03-26,0.0002759089239280292
2019-03-27,0.0002704007461257331
2019-03-28,0.0002657350781096853
2019-03-29,0.00025330854034222273
2019-03-30,0.00025371124089313947
2019-03-31,0.0002541139414440558
2019-04-01,0.00023315118497374356
2019-04-02,0.00023755684051326298
2019-04-03,0.00022787536040769473
2019-04-04,0.0002225663112379033
2019-04-05,0.00022597983667107814
2019-04-06,0.00022634490550181455
2019-04-07,0.00022670997433255129
2019-04-08,0.0002268215574839363
2019-04-09,0.0002299390341194849
2019-04-10,0.00023117013996077257
2019-04-11,0.00021656280642329265
2019-04-12,0.00020477755822237225
2019-04-13,0.00020517872453522512
2019-04-14,0.00020557989084807798
2019-04-15,0.0002004716632572903
2019-04-16,0.0001842022466287112
2019-04-17,0.00016719174811163234
2019-04-18,0.00017432343671994378
2019-04-19,0.00017478766883023618
2019-04-20,0.00017525190094052864
2019-04-21,0.000175716133050821
2019-04-22,0.00017523518788366472
2019-04-23,0.0001904279926497512
2019-04-24,0.0001843350781635418
2019-04-25,0.00017574660175401582
2019-04-26,0.00017881125345161985
2019-04-27,0.00017926032669105294
2019-04-28,0.00017970939993048598
2019-04-29,0.0001598223889083309
2019-04-30,0.00017119925495246336
2019-05-01,0.00018554846932144928
2019-05-02,0.00017553043466906305
2019-05-03,0.000181881700557624
2019-05-04,0.00018234131255070863
2019-05-05,0.00018280092454379373
2019-05-06,0.00025424768760992747
2019-05-07,0.0002951832980596543
2019-05-08,0.0002998427529704022
2019-05-09,0.00031499041532277055
2019-05-10,0.00030509130705134904
2019-05-11,0.0003055708683484831
2019-05-12,0.0003060504296456165
2019-05-13,0.00036448612658748953
2019-05-14,0.00035620670017200184
2019-05-15,0.00036015369350761797
2019-05-16,0.0003424212619776197
2019-05-17,0.00034581753586905204
2019-05-18,0.00034621022400138814
2019-05-19,0.0003466029121337243
2019-05-20,0.0003418583030456645
2019-05-21,0.0003296859124738929
2019-05-22,0.00035046784703096634
2019-05-23,0.00038646087251503487
2019-05-24,0.00037213406200840404
2019-05-25,0.0003724669708788927
2019-05-26,0.0003727998797493807
2019-05-27,0.0003731327886198687
2019-05-28,0.00040904561909606296
2019-05-29,0.00041891674484136634
2019-05-30,0.00042946294004452825
2019-05-31,0.00046208011126078885
2019-06-01,0.0004622336952744611
2019-06-02,0.0004623872792881333
2019-06-03,0.0004300859372978507
2019-06-04,0.00038513521265929403
2019-06-05,0.00039230771021993153
2019-06-06,0.00038146717330389887
2019-06-07,0.0003569980398855662
2019-06-08,0.00035739480848760794
2019-06-09,0.0003577915770896489
2019-06-10,0.00034440018252065627
