Date,UBS - ISNPY Accumulated Oriented Area
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,1.6934313725800617e-08
2019-01-04,-9.597105578381576e-06
2019-01-05,-9.29121729244109e-06
2019-01-06,-8.985329006500398e-06
2019-01-07,-9.353211942940747e-06
2019-01-08,-1.7736602485169323e-05
2019-01-09,-1.2378877949490547e-05
2019-01-10,-2.1308087944483462e-05
2019-01-11,-3.283300036579619e-05
2019-01-12,-3.248756861219421e-05
2019-01-13,-3.21421368585929e-05
2019-01-14,-4.4533447475173115e-05
2019-01-15,-5.5592164863182885e-05
2019-01-16,-4.536986332197469e-05
2019-01-17,-3.925080332460206e-05
2019-01-18,-4.691631362048155e-05
2019-01-19,-4.655543940455638e-05
2019-01-20,-4.6194565188631246e-05
2019-01-21,-4.5833690972706115e-05
2019-01-22,-7.0341000194581265e-06
2019-01-23,-1.0419784214063252e-05
2019-01-24,-1.5129122392632217e-05
2019-01-25,-7.721896931359936e-06
2019-01-26,-7.281329107910404e-06
2019-01-27,-6.840761284460898e-06
2019-01-28,-8.51244196901472e-08
2019-01-29,7.59295895688474e-07
2019-01-30,-8.186131067266355e-06
2019-01-31,-3.3913928273125575e-06
2019-02-01,-4.149880588084646e-06
2019-02-02,-3.9615226620100445e-06
2019-02-03,-3.773164735935365e-06
2019-02-04,-1.925507793400718e-06
2019-02-05,-7.391716913322013e-06
2019-02-06,6.596554672648682e-07
2019-02-07,9.213083612403196e-06
2019-02-08,1.3200139890701157e-05
2019-02-09,1.3399401516933056e-05
2019-02-10,1.35986631431649e-05
2019-02-11,1.3284117034545599e-05
2019-02-12,7.190381172057328e-06
2019-02-13,1.8499681456178216e-06
2019-02-14,1.1343927333719948e-05
2019-02-15,-1.690563839353583e-06
2019-02-16,-1.3289168177711341e-06
2019-02-17,-9.672697961883329e-07
2019-02-18,-6.05622774605579e-07
2019-02-19,4.0218709078015515e-06
2019-02-20,4.4177675732551004e-05
2019-02-21,6.322612555766593e-05
2019-02-22,5.964831004861011e-05
2019-02-23,6.00227323519751e-05
2019-02-24,6.039715465534034e-05
2019-02-25,4.1465307847486317e-05
2019-02-26,2.660348769460157e-05
2019-02-27,1.692583513448116e-05
2019-02-28,1.2826145010504556e-05
2019-03-01,6.9605065727205195e-06
2019-03-02,7.683348108020837e-06
2019-03-03,8.406189643321223e-06
2019-03-04,2.2218411664127276e-05
2019-03-05,4.154630424566568e-05
2019-03-06,5.5520204340888405e-05
2019-03-07,0.0001300225816722221
2019-03-08,0.0001325898829693956
2019-03-09,0.00013316676792702692
2019-03-10,0.00013374365288465823
2019-03-11,0.00010607003898841801
2019-03-12,0.00010545762884981661
2019-03-13,7.409739792174486e-05
2019-03-14,6.741854851304099e-05
2019-03-15,6.734174935280762e-05
2019-03-16,6.813309950490778e-05
2019-03-17,6.89244496570079e-05
2019-03-18,7.15951169358547e-06
2019-03-19,7.680833637394041e-07
2019-03-20,4.122732891060622e-05
2019-03-21,6.151215292975645e-05
2019-03-22,0.00016002926005434607
2019-03-23,0.00016072177089763935
2019-03-24,0.00016141428174093207
2019-03-25,0.00016895985981151432
2019-03-26,0.00016653463448192246
2019-03-27,0.00013868519973836717
2019-03-28,0.00014997440858312847
2019-03-29,0.00013015214745581196
2019-03-30,0.00013085630507010378
2019-03-31,0.00013156046268439532
2019-04-01,7.910580043029366e-05
2019-04-02,7.692275742987535e-05
2019-04-03,5.552061239013522e-05
2019-04-04,4.341608635780569e-05
2019-04-05,4.9219668198236086e-05
2019-04-06,5.005823590266848e-05
2019-04-07,5.08968036071012e-05
2019-04-08,5.4509845912557127e-05
2019-04-09,5.865659309243003e-05
2019-04-10,6.871755825608486e-05
2019-04-11,2.7392202019067922e-05
2019-04-12,-2.013603251603953e-06
2019-04-13,-1.042174616862549e-06
2019-04-14,-7.074598212115891e-08
2019-04-15,-1.4974357641794038e-05
2019-04-16,-5.513776190944768e-05
2019-04-17,-9.645913833857076e-05
2019-04-18,-8.280303330160922e-05
2019-04-19,-8.172083143092779e-05
2019-04-20,-8.063862956024634e-05
2019-04-21,-7.955642768956499e-05
2019-04-22,-7.836503610522283e-05
2019-04-23,-4.35747156132535e-05
2019-04-24,-5.743097436919804e-05
2019-04-25,-7.783298976253477e-05
2019-04-26,-7.46890615158663e-05
2019-04-27,-7.380927204658506e-05
2019-04-28,-7.29294825773039e-05
2019-04-29,-0.00010805300537175457
2019-04-30,-8.666354749015065e-05
2019-05-01,-5.478991462146065e-05
2019-05-02,-7.41122748889424e-05
2019-05-03,-6.272620450500577e-05
2019-05-04,-6.16988595102744e-05
2019-05-05,-6.067151451554193e-05
2019-05-06,9.326707633087111e-05
2019-05-07,0.00018229337445513515
2019-05-08,0.00017827389346966105
2019-05-09,0.00021767459913479766
2019-05-10,0.00022220986631550275
2019-05-11,0.00022288515490863904
2019-05-12,0.00022356044350177478
