Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,95.949997,99.779999,95.940002,99.309998,85.964333,15670900
2019-01-03,98.639999,98.889999,96.690002,97.110001,84.742615,16286400
2019-01-04,99.110001,100.93,98.279999,100.690002,87.866707,16935200
2019-01-07,100.43,101.470001,99.709999,100.760002,87.927788,15430700
2019-01-08,101.629997,101.82,99.550003,100.57,87.761963,13578800
2019-01-09,100.809998,101.489998,99.93,100.400002,87.613632,14230300
2019-01-10,100.019997,100.730003,99.269997,100.389999,87.604904,14376100
2019-01-11,99.889999,100.169998,98.949997,99.910004,87.186028,15439900
2019-01-14,98.870003,101.360001,98.660004,100.940002,88.084869,21258500
2019-01-15,98.889999,102.470001,98.599998,101.68,88.730629,26504900
2019-01-16,102.25,103.449997,101.800003,102.5,89.44619,18533000
2019-01-17,102.110001,103.5,101.919998,102.919998,89.812714,14247600
2019-01-18,103.769997,104.900002,102.830002,104.589996,91.270012,16428700
2019-01-22,103.080002,103.589996,102.129997,102.940002,89.830154,17083700
2019-01-23,103.440002,103.699997,101.970001,102.68,89.603256,12146700
2019-01-24,102.129997,103.089996,101.940002,102.739998,89.655617,11296800
2019-01-25,103.510002,104.309998,102.739998,103.389999,90.222839,14369400
2019-01-28,102.889999,104.239998,102.589996,103.879997,90.650436,12283100
2019-01-29,103.879997,105.110001,103.730003,104.169998,90.903519,9743300
2019-01-30,104.139999,105.239998,103.779999,104.410004,91.11293,12526300
2019-01-31,103.410004,103.800003,102.730003,103.5,90.318825,17520600
2019-02-01,104.0,104.849998,103.519997,103.879997,90.650436,13000800
2019-02-04,103.790001,104.25,103.010002,104.25,90.97332,9871500
2019-02-05,104.519997,104.550003,103.290001,103.790001,90.571915,12763000
2019-02-06,103.709999,104.620003,103.470001,103.739998,90.528267,8745000
2019-02-07,103.25,103.5,101.440002,102.379997,89.341476,13177500
2019-02-08,102.080002,102.339996,100.059998,101.360001,88.451378,12892600
2019-02-11,101.760002,102.010002,100.769997,100.879997,88.032494,10978500
2019-02-12,101.949997,102.919998,101.889999,102.599998,89.533463,12852300
2019-02-13,102.900002,103.849998,102.900002,103.089996,89.961052,10754100
2019-02-14,102.470001,103.099998,101.349998,102.419998,89.376389,11518500
2019-02-15,103.900002,105.699997,103.660004,105.550003,92.107758,14716900
2019-02-19,104.910004,105.370003,103.809998,105.18,91.784882,12764900
2019-02-20,105.209999,105.800003,104.879997,105.690002,92.229927,10030300
2019-02-21,105.449997,105.989998,104.959999,105.470001,92.037956,8400100
2019-02-22,105.699997,106.089996,104.779999,105.0,91.627823,10647300
2019-02-25,105.75,107.269997,105.690002,106.099998,92.587715,11230700
2019-02-26,104.5,105.470001,103.940002,105.290001,91.880867,15465400
2019-02-27,105.18,105.379997,104.510002,105.160004,91.767426,9968800
2019-02-28,105.010002,105.209999,104.18,104.360001,91.069313,15156900
2019-03-01,105.099998,105.910004,104.199997,104.43,91.130394,13813300
2019-03-04,104.919998,105.919998,103.269997,104.190002,90.920952,12466300
2019-03-05,104.129997,104.550003,103.260002,104.110001,90.851151,10856600
2019-03-06,103.860001,104.57,103.550003,103.720001,90.510803,9070800
2019-03-07,103.25,103.470001,102.160004,102.970001,89.856316,12705700
2019-03-08,101.989998,103.230003,101.989998,103.010002,89.891235,10582400
2019-03-11,103.980003,104.550003,103.660004,104.349998,91.060585,9763200
2019-03-12,104.589996,104.790001,103.75,104.040001,90.79007,10219100
2019-03-13,104.190002,104.980003,103.949997,104.389999,91.09549,13022200
2019-03-14,104.5,105.870003,104.459999,105.339996,91.9245,10926500
2019-03-15,105.410004,106.800003,105.230003,106.550003,92.980408,24811700
2019-03-18,106.550003,107.790001,106.5,107.190002,93.538902,12935500
2019-03-19,108.199997,108.400002,106.550003,106.800003,93.19857,12889300
2019-03-20,106.43,106.650002,104.410004,104.519997,91.208916,14920700
2019-03-21,103.489998,103.489998,102.279999,102.870003,89.769058,19751000
2019-03-22,101.82,102.32,99.519997,99.760002,87.055153,31115200
2019-03-25,99.589996,100.57,98.089996,98.93,86.330856,21032300
2019-03-26,99.82,100.400002,98.82,99.919998,87.194748,15987100
2019-03-27,99.879997,100.449997,99.080002,99.580002,86.898064,12753200
2019-03-28,100.0,100.800003,99.739998,100.709999,87.88414,12454100
2019-03-29,101.540001,101.989998,100.589996,101.230003,88.337921,14523400
2019-04-01,102.150002,104.68,102.120003,104.639999,91.313644,17499300
2019-04-02,104.599998,105.440002,104.330002,105.139999,91.749977,10295400
